,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,Benzol,Toluol,code
0,Jan 2010,59,,35,11,52,,3.3,3.0,mc042
1,Feb 2010,41,,36,6,45,43.0,2.1,2.1,mc042
2,Mär 2010,29,,34,6,43,47.0,,,mc042
3,Apr 2010,26,,28,4,34,63.0,,,mc042
4,Mai 2010,20,,23,3,27,50.0,,3.1,mc042
5,Jun 2010,22,,20,3,25,68.0,0.4,2.9,mc042
6,Jul 2010,24,,19,3,23,82.0,0.3,1.9,mc042
7,Aug 2010,19,,23,4,28,49.0,0.3,2.1,mc042
8,Sep 2010,19,,27,8,39,33.0,0.6,2.8,mc042
9,Okt 2010,27,,30,10,46,25.0,1.2,2.4,mc042
10,Nov 2010,20,,28,10,43,23.0,1.3,2.3,mc042
11,Dez 2010,32,,39,14,60,21.0,2.2,2.5,mc042
12,Jan 2011,23,,36,11,53,24.0,1.6,2.4,mc042
13,Feb 2011,42,,27,5,35,44.0,2.1,2.0,mc042
14,Mär 2011,35,,40,10,55,43.0,1.6,3.2,mc042
15,Apr 2011,24,,27,5,35,66.0,,2.4,mc042
16,Mai 2011,21,,24,3,29,73.0,0.6,2.3,mc042
17,Jun 2011,16,,19,2,23,68.0,0.3,1.8,mc042
18,Jul 2011,13,,19,3,23,55.0,0.3,1.6,mc042
19,Aug 2011,18,,23,4,29,49.0,0.3,2.0,mc042
20,Sep 2011,22,,32,15,55,34.0,0.9,4.8,mc042
21,Okt 2011,26,,30,14,52,25.0,1.5,3.8,mc042
22,Nov 2011,50,,34,17,60,13.0,3.0,4.5,mc042
23,Dez 2011,13,,27,6,36,29.0,1.3,2.7,mc042
24,Jan 2012,26,,28,8,40,30.0,1.9,3.2,mc042
25,Feb 2012,27,,33,8,45,32.0,2.0,3.7,mc042
26,Mär 2012,28,,30,8,42,45.0,1.5,3.8,mc042
27,Apr 2012,21,,27,5,34,60.0,1.2,3.4,mc042
28,Mai 2012,21,,19,3,23,72.0,0.7,3.2,mc042
29,Jun 2012,16,,22,3,27,60.0,0.6,3.9,mc042
30,Jul 2012,16,,21,3,27,57.0,0.6,4.4,mc042
31,Aug 2012,24,,24,4,30,53.0,1.1,5.0,mc042
32,Sep 2012,18,,29,7,39,39.0,1.5,6.1,mc042
33,Okt 2012,20,,31,16,55,24.0,1.9,6.4,mc042
34,Nov 2012,24,,34,16,59,13.0,2.1,6.6,mc042
35,Dez 2012,26,,34,14,56,17.0,2.2,4.8,mc042
36,Jan 2013,27,,28,7,38,30.0,1.9,2.2,mc042
37,Feb 2013,29,,29,5,37,37.0,2.0,2.6,mc042
38,Mär 2013,28,,30,6,40,62.0,1.6,2.2,mc042
39,Apr 2013,25,,28,5,36,63.0,1.3,2.7,mc042
40,Mai 2013,19,,22,3,27,58.0,1.0,3.0,mc042
41,Jun 2013,22,,18,3,22,63.0,0.9,3.6,mc042
42,Jul 2013,22,,20,3,24,64.0,1.0,3.9,mc042
43,Aug 2013,23,,27,5,35,58.0,1.1,4.4,mc042
44,Sep 2013,16,,26,8,38,33.0,0.9,2.9,mc042
45,Okt 2013,23,,31,11,47,24.0,1.1,2.7,mc042
46,Nov 2013,19,,33,12,50,20.0,1.2,2.5,mc042
47,Dez 2013,19,,31,14,53,20.0,1.3,2.2,mc042
48,Jan 2014,38,,29,8,42,21.0,1.9,2.0,mc042
49,Feb 2014,29,,36,9,50,26.0,1.4,2.1,mc042
50,Mär 2014,40,,34,10,50,39.0,1.5,2.9,mc042
51,Apr 2014,27,,25,4,31,59.0,0.9,2.1,mc042
52,Mai 2014,18,,21,3,26,62.0,0.7,2.6,mc042
53,Jun 2014,19,,23,5,30,59.0,0.8,3.1,mc042
54,Jul 2014,22,,20,2,24,67.0,0.8,2.7,mc042
55,Aug 2014,16,,24,4,30,53.0,1.0,2.8,mc042
56,Sep 2014,27,,26,7,37,43.0,1.0,4.7,mc042
57,Okt 2014,27,,29,14,51,19.0,1.1,3.0,mc042
58,Nov 2014,35,,26,14,48,12.0,1.3,2.5,mc042
59,Dez 2014,23,,28,10,43,25.0,1.0,1.9,mc042
60,Jan 2015,21,,28,7,38,31.0,1.2,1.8,mc042
61,Feb 2015,30,,34,11,50,29.0,1.5,2.2,mc042
62,Mär 2015,28,,29,6,38,44.0,1.2,1.9,mc042
63,Apr 2015,19,,26,6,35,58.0,0.9,2.1,mc042
64,Mai 2015,19,,25,3,30,61.0,0.6,1.7,mc042
65,Jun 2015,17,,20,3,24,67.0,0.4,1.6,mc042
66,Jul 2015,18,,20,3,25,68.0,0.5,2.1,mc042
67,Aug 2015,26,,22,3,26,79.0,0.7,2.3,mc042
68,Sep 2015,16,,26,5,33,41.0,0.8,2.1,mc042
69,Okt 2015,33,,31,14,53,22.0,1.7,2.8,mc042
70,Nov 2015,20,,32,22,65,22.0,1.3,2.8,mc042
71,Dez 2015,19,,29,9,43,23.0,1.1,1.9,mc042
72,Jan 2016,34,,33,12,52,19.0,2.0,2.2,mc042
73,Feb 2016,19,,28,6,37,36.0,1.3,1.7,mc042
74,Mär 2016,26,,31,8,44,40.0,1.2,1.8,mc042
75,Apr 2016,22,,28,6,37,55.0,0.9,1.8,mc042
76,Mai 2016,24,,22,2,26,76.0,0.6,1.7,mc042
77,Jun 2016,21,,21,2,25,66.0,0.5,2.0,mc042
78,Jul 2016,19,,19,3,23,59.0,0.5,2.1,mc042
79,Aug 2016,16,,22,5,29,48.0,0.5,2.0,mc042
80,Sep 2016,28,,29,6,37,56.0,0.8,2.6,mc042
81,Okt 2016,21,,24,9,37,18.0,1.1,1.9,mc042
82,Nov 2016,22,,34,17,60,16.0,1.0,2.1,mc042
83,Dez 2016,21,,35,15,57,20.0,1.2,1.6,mc042
