Station;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße;117 Schildhornstraße
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Jan 2010;63;;55;43;120;3.5;5.2;0.8
Feb 2010;45;;61;40;122;2.8;5.1;0.7
Mär 2010;35;;57;34;110;1.9;5.3;0.6
Apr 2010;30;;52;24;88;1.7;5.1;0.5
Mai 2010;24;;46;23;81;1.4;4.3;0.4
Jun 2010;24;;48;20;79;1.2;5.5;0.4
Jul 2010;28;;56;20;86;1.3;6.5;0.4
Aug 2010;23;;50;28;93;1.5;6.8;0.4
Sep 2010;24;;54;39;114;1.9;8.3;0.5
Okt 2010;34;;57;50;133;2.4;7.4;0.6
Nov 2010;25;;50;41;113;2.0;4.9;0.5
Dez 2010;37;;56;47;125;2.4;4.1;0.6
Jan 2011;27;;59;47;131;2.2;5.1;0.6
Feb 2011;50;;54;32;103;2.5;4.4;0.6
Mär 2011;39;;65;41;124;2.3;6.3;0.6
Apr 2011;29;;51;24;88;1.5;5.6;0.4
Mai 2011;24;;62;28;104;1.6;6.7;0.5
Jun 2011;18;;45;23;80;1.2;4.9;0.4
Jul 2011;16;;43;26;83;1.2;4.8;0.3
Aug 2011;22;;53;34;105;1.8;6.5;0.4
Sep 2011;24;;62;54;144;1.8;7.5;0.5
Okt 2011;27;;53;55;136;2.4;9.0;0.5
Nov 2011;52;;58;67;161;2.9;7.7;0.8
Dez 2011;15;;44;40;105;1.7;4.5;0.5
Jan 2012;31;;45;41;107;2.1;4.3;0.5
Feb 2012;29;;50;38;108;2.3;6.1;0.5
Mär 2012;28;;53;39;113;1.9;8.7;0.5
Apr 2012;23;;52;30;98;1.8;8.1;0.4
Mai 2012;23;;49;24;86;1.4;6.5;0.4
Jun 2012;20;;51;29;96;1.4;7.0;0.4
Jul 2012;20;;46;25;84;1.1;7.9;0.4
Aug 2012;22;;57;31;103;1.2;6.3;0.4
Sep 2012;17;;59;42;122;1.5;7.1;0.5
Okt 2012;21;;58;57;146;2.2;6.9;0.6
Nov 2012;26;;55;64;152;2.8;9.4;0.6
Dez 2012;30;;53;58;142;3.1;8.6;0.6
Jan 2013;32;;46;39;106;2.5;6.2;0.5
Feb 2013;37;;48;33;99;2.0;3.2;0.5
Mär 2013;35;;51;28;93;1.8;3.1;0.5
Apr 2013;;;52;28;94;1.5;3.8;0.4
Mai 2013;25;;50;26;90;1.3;2.7;0.4
Jun 2013;23;;43;21;75;1.1;2.9;0.3
Jul 2013;24;;47;21;79;1.0;3.2;0.3
Aug 2013;26;;55;28;98;1.2;3.7;0.4
Sep 2013;19;;50;42;115;1.5;3.7;0.4
Okt 2013;26;;55;50;132;;4.5;0.5
Nov 2013;22;;53;53;133;1.3;3.2;0.5
Dez 2013;23;;51;57;138;1.4;2.9;0.6
Jan 2014;43;;49;43;115;2.4;3.1;0.6
Feb 2014;33;;58;52;137;2.4;4.2;0.6
Mär 2014;40;;54;40;116;2.4;4.2;0.6
Apr 2014;29;;46;25;84;1.5;3.2;0.5
Mai 2014;21;;48;26;88;1.4;3.6;0.4
Jun 2014;21;;49;28;93;1.4;4.0;0.4
Jul 2014;27;;49;21;80;1.4;4.2;0.4
Aug 2014;21;;50;30;96;1.8;5.4;0.4
Sep 2014;30;;48;30;94;1.6;4.3;0.5
Okt 2014;32;;52;56;137;1.6;4.6;0.6
Nov 2014;39;;44;53;125;2.1;4.1;0.6
Dez 2014;27;;42;42;107;1.5;2.7;0.5
Jan 2015;21;;44;42;108;1.6;3.0;0.5
Feb 2015;32;;55;51;133;2.0;3.6;0.6
Mär 2015;29;;48;34;101;1.5;3.4;0.5
Apr 2015;18;;44;28;87;1.2;3.1;0.4
Mai 2015;18;;50;29;94;1.3;4.0;0.3
Jun 2015;16;;45;24;81;;4.1;0.2
Jul 2015;15;;46;22;80;0.9;3.1;0.2
Aug 2015;24;;53;22;87;1.0;3.4;0.2
Sep 2015;15;;51;38;108;1.2;3.2;0.2
Okt 2015;37;;50;48;123;2.1;3.1;0.5
Nov 2015;20;;45;56;130;1.9;3.6;0.5
Dez 2015;19;;42;42;106;1.5;3.3;0.5
Jan 2016;38;;45;45;114;2.2;3.4;0.6
Feb 2016;23;;42;34;93;1.5;2.9;0.4
Mär 2016;28;;48;36;102;1.6;3.0;0.5
Apr 2016;23;;49;30;95;1.1;3.3;0.4
Mai 2016;24;;43;19;72;0.9;3.4;0.4
Jun 2016;22;;47;24;84;1.0;4.4;0.4
Jul 2016;19;;41;21;73;0.8;3.6;0.4
Aug 2016;18;;41;26;80;1.0;4.3;0.3
Sep 2016;28;;58;30;104;1.2;4.8;0.4
Okt 2016;24;;39;41;102;1.4;3.0;0.4
Nov 2016;26;;53;64;150;2.0;3.6;0.5
Dez 2016;24;;49;54;131;1.9;2.9;0.5
Jan 2017;31;25;55;55;139;2.3;3.1;0.5
Feb 2017;42;33;52;42;116;2.9;3.1;0.6
Mär 2017;22;15;54;39;114;1.7;3.2;0.4
Apr 2017;19;13;41;24;77;1.3;2.5;0.3
Mai 2017;22;13;49;24;86;1.3;3.5;0.4
Jun 2017;18;10;43;23;79;1.1;3.5;0.3
Jul 2017;19;12;42;24;78;1.0;3.3;0.3
Aug 2017;20;13;44;25;83;1.1;3.8;0.3
Sep 2017;23;14;43;33;94;1.3;3.6;0.4
Okt 2017;22;14;38;36;93;1.1;2.7;0.4
Nov 2017;23;16;43;46;113;1.3;3.0;0.4
Dez 2017;18;13;39;40;99;1.1;2.2;0.4
Jan 2018;23;17;42;41;104;1.6;2.5;0.4
Feb 2018;32;23;50;37;107;1.8;2.5;0.4
Mär 2018;34;24;47;29;91;1.4;2.4;0.4
Apr 2018;28;18;46;24;83;0.8;2.5;0.4
Mai 2018;28;13;38;14;58;0.5;1.6;0.3
Jun 2018;22;12;38;17;64;0.7;2.2;0.3
Jul 2018;20;10;39;17;64;0.8;3.0;0.3
Aug 2018;21;10;44;21;76;1.1;3.9;0.3
Sep 2018;23;10;46;26;85;1.1;3.6;0.4
Okt 2018;25;16;51;42;116;1.6;4.5;0.4
Nov 2018;30;25;46;51;124;2.3;4.5;0.5
Dez 2018;17;14;35;36;91;1.5;2.8;0.4
Jan 2019;20;17;38;33;89;1.2;2.0;0.4
Feb 2019;28;21;50;43;116;1.2;2.7;0.5
Mär 2019;17;12;35;24;72;0.6;1.3;0.3
Apr 2019;31;17;37;15;60;;;0.3
Mai 2019;17;10;35;17;61;;;0.3
Jun 2019;22;11;42;16;65;;;0.3
Jul 2019;20;10;30;15;53;;;0.3
Aug 2019;19;11;44;20;75;;;0.3
Sep 2019;16;9;37;24;73;;;0.3
Okt 2019;18;12;38;35;91;;;0.4
Nov 2019;24;19;37;39;96;;;0.4
Dez 2019;18;13;40;39;100;;;0.4
Jan 2020;19;14;39;33;90;;;0.4
Feb 2020;12;9;30;21;62;;;0.3
Mär 2020;20;14;33;18;60;;;0.3
Apr 2020;21;11;29;11;46;;;0.3
Mai 2020;14;8;26;12;44;;;0.3
Jun 2020;17;10;26;11;43;;;0.2
Jul 2020;14;8;26;16;50;;;0.2
Aug 2020;21;11;37;14;59;;;0.3
Sep 2020;18;10;42;23;78;;;0.4
Okt 2020;15;11;30;25;68;;;0.4
Nov 2020;20;15;32;28;74;;;0.4
Dez 2020;25;21;32;32;81;;;0.4
Jan 2021;17;14;29;20;59;;;0.3
Feb 2021;30;20;40;26;80;;;0.4
Mär 2021;23;15;36;25;74;;;0.3
Apr 2021;17;11;24;10;39;;;0.3
Mai 2021;14;8;25;12;43;;;0.3
Jun 2021;22;12;30;11;47;;;0.2
Jul 2021;20;12;26;11;43;;;0.2
Aug 2021;17;11;24;12;43;;;0.3
Sep 2021;20;13;32;18;61;;;0.4
Okt 2021;21;14;33;23;67;;;0.4
