Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide

Jan 2010;60;;61;89;196
Feb 2010;43;;69;78;188
Mär 2010;40;;60;51;137
Apr 2010;30;;54;37;110
Mai 2010;24;;39;30;86
Jun 2010;26;;49;33;100
Jul 2010;28;;59;38;116
Aug 2010;25;;52;46;122
Sep 2010;25;;52;56;138
Okt 2010;35;;62;88;196
Nov 2010;26;;52;76;169
Dez 2010;36;;59;83;186
Jan 2011;28;;59;78;178
Feb 2011;53;;61;72;171
Mär 2011;46;;65;63;162
Apr 2011;33;;53;38;110
Mai 2011;27;;60;39;120
Jun 2011;20;;44;28;87
Jul 2011;18;;38;27;79
Aug 2011;23;;51;43;117
Sep 2011;29;;62;72;172
Okt 2011;33;;55;75;170
Nov 2011;58;;62;110;229
Dez 2011;14;;43;59;134
Jan 2012;29;;42;53;123
Feb 2012;35;;49;52;129
Mär 2012;38;;47;43;112
Apr 2012;29;;57;50;133
Mai 2012;28;;50;41;112
Jun 2012;23;;48;38;106
Jul 2012;21;;49;39;108
Aug 2012;23;;56;44;124
Sep 2012;19;;53;49;127
Okt 2012;25;;57;84;185
Nov 2012;33;;56;93;198
Dez 2012;35;;59;100;212
Jan 2013;32;;51;70;158
Feb 2013;37;;55;63;152
Mär 2013;41;;64;57;151
Apr 2013;39;;61;53;141
Mai 2013;26;;55;46;125
Jun 2013;19;;44;32;92
Jul 2013;20;;44;27;86
Aug 2013;22;;55;53;134
Sep 2013;16;;51;60;143
Okt 2013;28;;58;91;196
Nov 2013;23;;53;79;174
Dez 2013;24;;53;93;194
Jan 2014;40;;56;100;208
Feb 2014;36;;69;106;231
Mär 2014;46;;69;87;202
Apr 2014;32;;60;57;147
Mai 2014;23;;53;43;119
Jun 2014;16;;51;40;112
Jul 2014;23;;53;36;109
Aug 2014;17;;55;49;130
Sep 2014;29;;53;52;133
Okt 2014;35;;57;95;202
Nov 2014;42;;52;106;215
Dez 2014;27;;49;77;166
Jan 2015;21;;46;62;141
Feb 2015;42;;56;75;170
Mär 2015;34;;55;56;140
Apr 2015;23;;46;35;99
Mai 2015;20;;50;38;108
Jun 2015;20;;45;31;93
Jul 2015;20;;51;36;105
Aug 2015;28;;60;41;123
Sep 2015;18;;52;50;128
Okt 2015;41;;59;93;201
Nov 2015;25;;52;89;187
Dez 2015;22;;50;76;166
Jan 2016;40;;52;82;177
Feb 2016;28;;50;59;140
Mär 2016;32;;52;56;137
Apr 2016;26;;54;51;133
Mai 2016;27;;53;36;109
Jun 2016;23;;55;43;120
Jul 2016;20;;45;32;95
Aug 2016;19;;44;38;102
Sep 2016;27;;67;56;153
Okt 2016;24;;43;68;147
Nov 2016;24;;56;98;205
Dez 2016;22;;51;78;171
Jan 2017;32;26;56;73;168
Feb 2017;51;39;58;81;182
Mär 2017;30;19;60;60;152
Apr 2017;25;17;40;28;83
Mai 2017;26;16;49;35;102
Jun 2017;21;12;43;29;87
Jul 2017;23;14;43;33;93
Aug 2017;25;14;47;34;99
Sep 2017;28;18;48;50;125
Okt 2017;26;17;45;59;135
Nov 2017;28;20;49;71;157
Dez 2017;22;16;44;52;123
Jan 2018;26;20;49;66;149
Feb 2018;38;26;59;72;168
Mär 2018;40;28;57;59;147
Apr 2018;34;21;54;40;114
Mai 2018;30;15;49;29;94
Jun 2018;24;13;38;20;69
Jul 2018;22;11;38;18;65
Aug 2018;25;11;48;27;90
Sep 2018;27;13;52;37;110
Okt 2018;31;19;56;63;152
Nov 2018;36;27;51;87;184
Dez 2018;21;16;37;52;117
Jan 2019;25;19;40;45;108
Feb 2019;34;24;52;57;140
Mär 2019;20;14;37;27;78
Apr 2019;31;18;43;28;86
Mai 2019;17;11;33;19;62
Jun 2019;21;12;45;24;82
Jul 2019;17;10;27;13;47
Aug 2019;20;12;44;27;85
Sep 2019;17;11;38;31;84
Okt 2019;19;13;44;52;124
Nov 2019;29;22;41;60;132
Dez 2019;23;16;42;47;114
Jan 2020;24;17;41;40;103
Feb 2020;16;11;33;22;67
Mär 2020;24;16;38;21;71
Apr 2020;33;13;33;14;54
Mai 2020;16;10;26;11;44
Jun 2020;19;11;35;23;70
Jul 2020;15;9;41;43;107
Aug 2020;20;11;39;19;69
Sep 2020;20;12;41;29;85
Okt 2020;17;12;34;37;91
Nov 2020;23;17;36;47;109
Dez 2020;28;22;33;54;116
Jan 2021;28;16;31;32;80
Feb 2021;53;23;44;48;118
Mär 2021;33;18;43;41;104
Apr 2021;25;13;30;17;57
Mai 2021;21;10;31;20;62
Jun 2021;29;14;37;19;67
Jul 2021;22;12;29;17;55
Aug 2021;17;10;29;19;57
Sep 2021;25;15;35;26;74
Okt 2021;29;16;39;37;96
Nov 2021;29;19;36;48;110
Dez 2021;25;20;36;46;107
Jan 2022;23;15;31;26;71
Feb 2022;17;11;32;32;82
Mär 2022;43;23;47;40;107
Apr 2022;25;12;37;28;80
Mai 2022;23;11;30;16;53
Jun 2022;20;11;31;15;54
Jul 2022;17;9;23;10;38
Aug 2022;24;12;30;15;53
Sep 2022;19;11;33;28;76
Okt 2022;24;15;37;43;103
Nov 2022;27;20;36;54;119
