Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide

Jan 2010;54;;30;7;40
Feb 2010;40;;31;4;36
Mär 2010;29;;31;4;37
Apr 2010;28;;29;5;36
Mai 2010;21;;23;4;29
Jun 2010;24;;23;4;29
Jul 2010;27;;23;3;27
Aug 2010;21;;25;4;31
Sep 2010;19;;29;8;42
Okt 2010;26;;31;9;45
Nov 2010;20;;27;8;40
Dez 2010;31;;35;11;51
Jan 2011;22;;34;8;46
Feb 2011;41;;26;3;31
Mär 2011;37;;37;7;47
Apr 2011;28;;29;5;36
Mai 2011;23;;27;4;32
Jun 2011;17;;21;3;26
Jul 2011;15;;19;3;24
Aug 2011;18;;22;4;29
Sep 2011;18;;33;17;59
Okt 2011;25;;31;16;55
Nov 2011;51;;34;18;61
Dez 2011;13;;26;5;33
Jan 2012;25;;26;6;35
Feb 2012;26;;31;6;40
Mär 2012;28;;29;8;41
Apr 2012;21;;26;5;34
Mai 2012;21;;20;3;24
Jun 2012;18;;24;4;30
Jul 2012;19;;22;4;29
Aug 2012;20;;27;5;35
Sep 2012;17;;33;7;44
Okt 2012;20;;34;18;61
Nov 2012;23;;33;15;55
Dez 2012;27;;33;13;53
Jan 2013;27;;24;5;31
Feb 2013;31;;24;4;30
Mär 2013;31;;25;6;33
Apr 2013;29;;29;7;39
Mai 2013;21;;23;3;28
Jun 2013;18;;19;3;24
Jul 2013;21;;22;3;27
Aug 2013;23;;28;6;36
Sep 2013;15;;27;8;40
Okt 2013;23;;36;19;64
Nov 2013;19;;34;14;56
Dez 2013;18;;32;19;62
Jan 2014;36;;30;11;46
Feb 2014;28;;37;17;63
Mär 2014;37;;33;10;48
Apr 2014;24;;25;5;32
Mai 2014;16;;22;4;27
Jun 2014;18;;24;7;34
Jul 2014;23;;22;3;26
Aug 2014;17;;27;5;34
Sep 2014;26;;27;6;36
Okt 2014;28;;31;13;51
Nov 2014;33;;26;13;46
Dez 2014;21;;27;9;41
Jan 2015;19;;25;5;32
Feb 2015;28;;31;9;45
Mär 2015;27;;27;6;36
Apr 2015;20;;27;7;37
Mai 2015;19;;27;5;34
Jun 2015;19;;23;5;30
Jul 2015;21;;23;4;30
Aug 2015;26;;24;3;29
Sep 2015;18;;29;6;38
Okt 2015;36;;34;17;60
Nov 2015;27;;32;22;66
Dez 2015;22;;28;8;40
Jan 2016;34;;32;9;46
Feb 2016;20;;26;5;33
Mär 2016;23;;29;9;42
Apr 2016;21;;28;7;39
Mai 2016;22;;22;3;26
Jun 2016;20;;23;3;28
Jul 2016;19;;22;4;29
Aug 2016;18;;25;5;34
Sep 2016;27;;31;6;40
Okt 2016;21;;25;9;39
Nov 2016;20;;33;16;58
Dez 2016;19;;34;13;55
Jan 2017;27;;35;9;49
Feb 2017;38;;30;7;41
Mär 2017;21;;32;7;44
Apr 2017;19;13;24;4;30
Mai 2017;23;14;22;3;27
Jun 2017;18;11;22;3;27
Jul 2017;17;11;22;4;28
Aug 2017;18;11;25;5;32
Sep 2017;22;15;26;8;38
Okt 2017;21;15;29;11;46
Nov 2017;21;17;30;9;44
Dez 2017;17;13;27;7;38
Jan 2018;20;16;25;6;34
Feb 2018;26;21;28;5;35
Mär 2018;27;22;27;5;34
Apr 2018;24;17;26;5;33
Mai 2018;22;12;15;2;18
Jun 2018;17;11;18;3;22
Jul 2018;16;9;16;2;20
Aug 2018;22;12;22;3;27
Sep 2018;25;12;30;7;41
Okt 2018;27;17;33;13;53
Nov 2018;30;25;28;10;43
Dez 2018;17;14;24;6;33
Jan 2019;19;16;24;4;30
Feb 2019;27;21;35;10;51
Mär 2019;15;11;21;3;25
Apr 2019;25;16;16;2;18
Mai 2019;15;9;18;3;22
Jun 2019;18;10;18;2;21
Jul 2019;17;9;16;3;20
Aug 2019;17;10;23;3;28
Sep 2019;16;9;24;5;31
Okt 2019;17;12;27;9;41
Nov 2019;23;19;26;7;36
Dez 2019;17;13;28;7;38
Jan 2020;18;14;26;4;32
Feb 2020;12;8;19;2;22
Mär 2020;18;13;18;2;22
Apr 2020;18;10;15;1;17
Mai 2020;12;7;12;2;15
Jun 2020;14;8;11;1;12
Jul 2020;16;8;13;2;17
Aug 2020;21;11;17;2;19
Sep 2020;18;10;25;4;31
Okt 2020;15;10;20;4;25
Nov 2020;19;15;21;4;27
Dez 2020;23;20;21;5;29
Jan 2021;15;12;19;3;22
Feb 2021;25;18;27;6;36
Mär 2021;21;14;23;8;34
Apr 2021;17;10;12;2;15
Mai 2021;12;8;11;1;13
Jun 2021;22;12;12;1;13
Jul 2021;;;;;
Aug 2021;13;8;13;2;16
Sep 2021;22;13;18;3;23
Okt 2021;;;21;4;27
Nov 2021;22;16;21;5;29
Dez 2021;21;17;22;5;29
Jan 2022;18;13;16;2;19
Feb 2022;13;9;14;2;16
Mär 2022;29;19;21;4;26
Apr 2022;16;10;12;2;14
Mai 2022;18;9;13;2;15
Jun 2022;17;9;13;2;15
Jul 2022;16;7;11;2;13
Aug 2022;20;10;13;2;14
Sep 2022;15;9;16;3;20
Okt 2022;20;13;22;7;33
Nov 2022;26;19;21;6;30
