Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide

Apr 2020;23;12;29;10;45
Mai 2020;15;9;25;9;38
Jun 2020;18;10;25;8;37
Jul 2020;17;9;26;10;42
Aug 2020;21;11;36;11;52
Sep 2020;23;11;42;18;70
Okt 2020;17;11;33;22;67
Nov 2020;21;15;33;26;72
Dez 2020;27;21;31;30;76
Jan 2021;18;13;30;18;57
Feb 2021;33;20;39;24;75
Mär 2021;27;15;35;18;63
Apr 2021;20;11;24;8;36
Mai 2021;15;9;22;8;34
Jun 2021;23;12;28;8;40
Jul 2021;20;11;25;10;40
Aug 2021;15;8;24;9;39
Sep 2021;21;13;31;14;52
Okt 2021;23;14;33;20;63
Nov 2021;23;17;31;26;70
Dez 2021;24;18;31;24;68
Jan 2022;20;13;26;13;45
Feb 2022;16;10;24;10;40
Mär 2022;33;20;35;14;56
Apr 2022;19;11;23;7;34
Mai 2022;21;10;24;8;36
Jun 2022;20;10;27;8;39
Jul 2022;19;8;21;7;31
Aug 2022;24;11;24;7;34
Sep 2022;17;9;29;18;56
Okt 2022;21;13;34;28;77
Nov 2022;25;19;32;33;82
