,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
0,Jan 2010,54.0,,30.0,7.0,40.0,mc171,
1,Feb 2010,40.0,,31.0,4.0,36.0,mc171,
2,Mär 2010,29.0,,31.0,4.0,37.0,mc171,
3,Apr 2010,28.0,,29.0,5.0,36.0,mc171,
4,Mai 2010,21.0,,23.0,4.0,29.0,mc171,
5,Jun 2010,24.0,,23.0,4.0,29.0,mc171,
6,Jul 2010,27.0,,23.0,3.0,27.0,mc171,
7,Aug 2010,21.0,,25.0,4.0,31.0,mc171,
8,Sep 2010,19.0,,29.0,8.0,42.0,mc171,
9,Okt 2010,26.0,,31.0,9.0,45.0,mc171,
10,Nov 2010,20.0,,27.0,8.0,40.0,mc171,
11,Dez 2010,31.0,,35.0,11.0,51.0,mc171,
12,Jan 2011,22.0,,34.0,8.0,46.0,mc171,
13,Feb 2011,41.0,,26.0,3.0,31.0,mc171,
14,Mär 2011,37.0,,37.0,7.0,47.0,mc171,
15,Apr 2011,28.0,,29.0,5.0,36.0,mc171,
16,Mai 2011,23.0,,27.0,4.0,32.0,mc171,
17,Jun 2011,17.0,,21.0,3.0,26.0,mc171,
18,Jul 2011,15.0,,19.0,3.0,24.0,mc171,
19,Aug 2011,18.0,,22.0,4.0,29.0,mc171,
20,Sep 2011,18.0,,33.0,17.0,59.0,mc171,
21,Okt 2011,25.0,,31.0,16.0,55.0,mc171,
22,Nov 2011,51.0,,34.0,18.0,61.0,mc171,
23,Dez 2011,13.0,,26.0,5.0,33.0,mc171,
24,Jan 2012,25.0,,26.0,6.0,35.0,mc171,
25,Feb 2012,26.0,,31.0,6.0,40.0,mc171,
26,Mär 2012,28.0,,29.0,8.0,41.0,mc171,
27,Apr 2012,21.0,,26.0,5.0,34.0,mc171,
28,Mai 2012,21.0,,20.0,3.0,24.0,mc171,
29,Jun 2012,18.0,,24.0,4.0,30.0,mc171,
30,Jul 2012,19.0,,22.0,4.0,29.0,mc171,
31,Aug 2012,20.0,,27.0,5.0,35.0,mc171,
32,Sep 2012,17.0,,33.0,7.0,44.0,mc171,
33,Okt 2012,20.0,,34.0,18.0,61.0,mc171,
34,Nov 2012,23.0,,33.0,15.0,55.0,mc171,
35,Dez 2012,27.0,,33.0,13.0,53.0,mc171,
36,Jan 2013,27.0,,24.0,5.0,31.0,mc171,
37,Feb 2013,31.0,,24.0,4.0,30.0,mc171,
38,Mär 2013,31.0,,25.0,6.0,33.0,mc171,
39,Apr 2013,29.0,,29.0,7.0,39.0,mc171,
40,Mai 2013,21.0,,23.0,3.0,28.0,mc171,
41,Jun 2013,18.0,,19.0,3.0,24.0,mc171,
42,Jul 2013,21.0,,22.0,3.0,27.0,mc171,
43,Aug 2013,23.0,,28.0,6.0,36.0,mc171,
44,Sep 2013,15.0,,27.0,8.0,40.0,mc171,
45,Okt 2013,23.0,,36.0,19.0,64.0,mc171,
46,Nov 2013,19.0,,34.0,14.0,56.0,mc171,
47,Dez 2013,18.0,,32.0,19.0,62.0,mc171,
48,Jan 2014,36.0,,30.0,11.0,46.0,mc171,
49,Feb 2014,28.0,,37.0,17.0,63.0,mc171,
50,Mär 2014,37.0,,33.0,10.0,48.0,mc171,
51,Apr 2014,24.0,,25.0,5.0,32.0,mc171,
52,Mai 2014,16.0,,22.0,4.0,27.0,mc171,
53,Jun 2014,18.0,,24.0,7.0,34.0,mc171,
54,Jul 2014,23.0,,22.0,3.0,26.0,mc171,
55,Aug 2014,17.0,,27.0,5.0,34.0,mc171,
56,Sep 2014,26.0,,27.0,6.0,36.0,mc171,
57,Okt 2014,28.0,,31.0,13.0,51.0,mc171,
58,Nov 2014,33.0,,26.0,13.0,46.0,mc171,
59,Dez 2014,21.0,,27.0,9.0,41.0,mc171,
60,Jan 2015,19.0,,25.0,5.0,32.0,mc171,
61,Feb 2015,28.0,,31.0,9.0,45.0,mc171,
62,Mär 2015,27.0,,27.0,6.0,36.0,mc171,
63,Apr 2015,20.0,,27.0,7.0,37.0,mc171,
64,Mai 2015,19.0,,27.0,5.0,34.0,mc171,
65,Jun 2015,19.0,,23.0,5.0,30.0,mc171,
66,Jul 2015,21.0,,23.0,4.0,30.0,mc171,
67,Aug 2015,26.0,,24.0,3.0,29.0,mc171,
68,Sep 2015,18.0,,29.0,6.0,38.0,mc171,
69,Okt 2015,36.0,,34.0,17.0,60.0,mc171,
70,Nov 2015,27.0,,32.0,22.0,66.0,mc171,
71,Dez 2015,22.0,,28.0,8.0,40.0,mc171,
72,Jan 2016,34.0,,32.0,9.0,46.0,mc171,
73,Feb 2016,20.0,,26.0,5.0,33.0,mc171,
74,Mär 2016,23.0,,29.0,9.0,42.0,mc171,
75,Apr 2016,21.0,,28.0,7.0,39.0,mc171,
76,Mai 2016,22.0,,22.0,3.0,26.0,mc171,
77,Jun 2016,20.0,,23.0,3.0,28.0,mc171,
78,Jul 2016,19.0,,22.0,4.0,29.0,mc171,
79,Aug 2016,18.0,,25.0,5.0,34.0,mc171,
80,Sep 2016,27.0,,31.0,6.0,40.0,mc171,
81,Okt 2016,21.0,,25.0,9.0,39.0,mc171,
82,Nov 2016,20.0,,33.0,16.0,58.0,mc171,
83,Dez 2016,19.0,,34.0,13.0,55.0,mc171,
84,Jan 2017,27.0,,35.0,9.0,49.0,mc171,
85,Feb 2017,38.0,,30.0,7.0,41.0,mc171,
86,Mär 2017,21.0,,32.0,7.0,44.0,mc171,
87,Apr 2017,19.0,13.0,24.0,4.0,30.0,mc171,
88,Mai 2017,23.0,14.0,22.0,3.0,27.0,mc171,
89,Jun 2017,18.0,11.0,22.0,3.0,27.0,mc171,
90,Jul 2017,17.0,11.0,22.0,4.0,28.0,mc171,
91,Aug 2017,18.0,11.0,25.0,5.0,32.0,mc171,
92,Sep 2017,22.0,15.0,26.0,8.0,38.0,mc171,
93,Okt 2017,21.0,15.0,29.0,11.0,46.0,mc171,
94,Nov 2017,21.0,17.0,30.0,9.0,44.0,mc171,
