Station;010 Wedding;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;171 Mitte;174 Frankfurter Allee;190 Leipziger Straße;221 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.10.2022;13;13;14;17;;13;16;17;15;18;15;16
02.10.2022;10;10;12;12;;10;13;15;12;13;12;12
03.10.2022;9;11;11;14;;11;12;13;13;12;11;12
04.10.2022;12;13;14;14;10;13;18;17;15;15;14;16
05.10.2022;15;19;15;15;11;15;21;21;17;19;18;18
06.10.2022;13;13;14;14;11;14;20;17;15;17;16;15
07.10.2022;17;16;20;19;14;19;26;24;21;25;21;22
08.10.2022;14;14;15;17;13;14;19;19;17;17;16;18
09.10.2022;11;12;12;13;10;13;14;16;14;15;14;16
10.10.2022;16;14;16;15;12;16;20;20;17;20;19;23
11.10.2022;15;11;18;15;11;15;21;21;20;22;18;20
12.10.2022;22;13;22;22;14;21;23;27;24;29;25;28
13.10.2022;28;21;31;26;21;28;42;38;40;40;33;38
14.10.2022;25;23;27;29;22;25;32;35;28;37;31;35
15.10.2022;16;16;17;20;15;17;20;21;20;21;20;22
16.10.2022;9;10;15;13;9;11;14;18;14;16;12;17
17.10.2022;20;17;20;19;16;19;25;27;22;27;23;26
18.10.2022;16;16;18;18;17;17;24;23;19;22;20;22
19.10.2022;9;9;10;10;9;10;16;14;11;11;12;13
20.10.2022;15;13;13;14;11;15;15;17;14;16;17;17
21.10.2022;21;20;21;22;17;21;25;25;21;25;24;26
22.10.2022;17;15;20;18;17;17;24;24;20;24;20;23
23.10.2022;15;14;16;16;15;16;19;20;17;20;19;21
24.10.2022;15;13;15;14;11;31;19;19;14;19;18;19
25.10.2022;12;12;15;14;12;16;20;19;13;18;15;17
26.10.2022;17;13;18;15;13;18;22;23;18;23;21;23
27.10.2022;19;13;19;16;15;20;25;26;20;26;23;25
28.10.2022;22;18;23;21;18;23;28;28;20;29;26;27
29.10.2022;28;24;31;29;26;29;36;35;27;37;32;34
30.10.2022;37;30;40;41;29;35;42;47;39;48;43;48
31.10.2022;37;35;41;48;36;40;51;48;39;50;44;48
01.11.2022;29;27;30;32;24;31;37;37;28;37;33;34
02.11.2022;14;12;16;17;11;16;22;19;16;22;17;18
03.11.2022;17;13;15;17;12;18;18;20;19;23;19;20
04.11.2022;18;16;18;21;18;20;25;23;38;23;21;23
05.11.2022;13;12;19;17;13;18;20;18;17;20;15;18
06.11.2022;14;13;14;15;12;17;17;17;16;19;16;18
07.11.2022;12;10;13;12;9;14;17;16;36;17;16;16
08.11.2022;12;9;12;11;8;13;15;17;15;18;14;15
09.11.2022;11;9;11;10;9;12;15;16;12;16;14;15
10.11.2022;12;10;14;14;9;15;22;18;25;17;16;15
11.11.2022;14;10;16;13;11;17;21;21;16;20;16;17
12.11.2022;20;14;23;21;16;25;31;30;25;34;24;27
13.11.2022;22;21;21;25;19;25;25;25;25;26;25;25
14.11.2022;33;28;33;33;28;36;35;38;35;39;38;37
15.11.2022;32;25;31;30;27;34;36;39;33;38;36;36
16.11.2022;23;22;25;22;22;29;29;29;26;27;27;27
17.11.2022;19;17;18;17;17;20;20;22;20;21;22;22
18.11.2022;22;19;21;18;20;24;27;26;22;24;25;25
19.11.2022;16;15;16;13;15;18;25;20;15;19;18;19
20.11.2022;16;14;19;16;16;20;21;21;19;22;19;20
21.11.2022;20;18;22;20;20;23;26;27;23;26;25;26
22.11.2022;24;22;23;23;22;26;26;29;25;28;28;28
23.11.2022;27;21;27;29;25;28;29;34;29;33;32;31
24.11.2022;36;29;38;37;34;38;41;45;42;46;40;41
25.11.2022;28;21;31;28;23;29;38;36;32;37;35;35
26.11.2022;22;16;23;21;19;27;29;28;26;27;24;25
27.11.2022;21;17;20;21;18;23;25;26;24;29;25;24
28.11.2022;25;22;24;25;23;29;28;32;28;32;31;29
29.11.2022;35;32;33;36;31;37;38;41;38;42;42;39
30.11.2022;41;38;40;42;38;46;46;50;44;49;50;47
01.12.2022;36;35;36;35;32;42;41;43;37;41;44;41
02.12.2022;27;27;28;27;26;32;33;34;29;33;34;32
03.12.2022;37;36;38;37;36;43;44;43;39;44;45;44
04.12.2022;41;39;41;44;43;47;51;47;44;47;47;47
05.12.2022;27;25;28;28;29;32;37;36;30;34;31;32
06.12.2022;12;11;12;12;12;13;16;22;14;17;15;15
07.12.2022;11;9;11;11;10;12;15;16;13;15;13;14
08.12.2022;14;12;15;14;13;17;21;20;14;19;16;18
09.12.2022;19;17;19;19;16;23;23;24;21;25;23;22
10.12.2022;19;17;21;18;18;22;25;24;20;24;23;25
11.12.2022;17;17;19;16;17;20;22;22;18;21;20;22
12.12.2022;14;14;14;12;12;16;17;16;14;16;17;17
13.12.2022;23;19;21;22;18;24;36;26;22;30;25;26
