date;code;PM10_day
01.10.22;mc010;13
02.10.22;mc010;10
03.10.22;mc010;9
04.10.22;mc010;12
05.10.22;mc010;15
06.10.22;mc010;13
07.10.22;mc010;17
08.10.22;mc010;14
09.10.22;mc010;11
10.10.22;mc010;16
11.10.22;mc010;15
12.10.22;mc010;22
13.10.22;mc010;28
14.10.22;mc010;25
15.10.22;mc010;16
16.10.22;mc010;9
17.10.22;mc010;20
18.10.22;mc010;16
19.10.22;mc010;9
20.10.22;mc010;15
21.10.22;mc010;21
22.10.22;mc010;17
23.10.22;mc010;15
24.10.22;mc010;15
25.10.22;mc010;12
26.10.22;mc010;17
27.10.22;mc010;19
28.10.22;mc010;22
29.10.22;mc010;28
30.10.22;mc010;37
31.10.22;mc010;37
01.11.22;mc010;29
02.11.22;mc010;14
03.11.22;mc010;17
04.11.22;mc010;18
05.11.22;mc010;13
06.11.22;mc010;14
07.11.22;mc010;12
08.11.22;mc010;12
09.11.22;mc010;11
10.11.22;mc010;12
11.11.22;mc010;14
12.11.22;mc010;20
13.11.22;mc010;22
14.11.22;mc010;33
15.11.22;mc010;32
16.11.22;mc010;23
17.11.22;mc010;19
18.11.22;mc010;22
19.11.22;mc010;16
20.11.22;mc010;16
21.11.22;mc010;20
22.11.22;mc010;24
23.11.22;mc010;27
24.11.22;mc010;36
25.11.22;mc010;28
26.11.22;mc010;22
27.11.22;mc010;21
28.11.22;mc010;25
29.11.22;mc010;35
30.11.22;mc010;41
01.12.22;mc010;36
02.12.22;mc010;27
03.12.22;mc010;37
04.12.22;mc010;41
05.12.22;mc010;27
06.12.22;mc010;12
07.12.22;mc010;11
08.12.22;mc010;14
09.12.22;mc010;19
10.12.22;mc010;19
11.12.22;mc010;17
12.12.22;mc010;14
13.12.22;mc010;23
01.10.22;mc032;13
02.10.22;mc032;10
03.10.22;mc032;11
04.10.22;mc032;13
05.10.22;mc032;19
06.10.22;mc032;13
07.10.22;mc032;16
08.10.22;mc032;14
09.10.22;mc032;12
10.10.22;mc032;14
11.10.22;mc032;11
12.10.22;mc032;13
13.10.22;mc032;21
14.10.22;mc032;23
15.10.22;mc032;16
16.10.22;mc032;10
17.10.22;mc032;17
18.10.22;mc032;16
19.10.22;mc032;9
20.10.22;mc032;13
21.10.22;mc032;20
22.10.22;mc032;15
23.10.22;mc032;14
24.10.22;mc032;13
25.10.22;mc032;12
26.10.22;mc032;13
27.10.22;mc032;13
28.10.22;mc032;18
29.10.22;mc032;24
30.10.22;mc032;30
31.10.22;mc032;35
01.11.22;mc032;27
02.11.22;mc032;12
03.11.22;mc032;13
04.11.22;mc032;16
05.11.22;mc032;12
06.11.22;mc032;13
07.11.22;mc032;10
08.11.22;mc032;9
09.11.22;mc032;9
10.11.22;mc032;10
11.11.22;mc032;10
12.11.22;mc032;14
13.11.22;mc032;21
14.11.22;mc032;28
15.11.22;mc032;25
16.11.22;mc032;22
17.11.22;mc032;17
18.11.22;mc032;19
19.11.22;mc032;15
20.11.22;mc032;14
21.11.22;mc032;18
22.11.22;mc032;22
23.11.22;mc032;21
24.11.22;mc032;29
25.11.22;mc032;21
26.11.22;mc032;16
27.11.22;mc032;17
28.11.22;mc032;22
29.11.22;mc032;32
30.11.22;mc032;38
01.12.22;mc032;35
02.12.22;mc032;27
03.12.22;mc032;36
04.12.22;mc032;39
05.12.22;mc032;25
06.12.22;mc032;11
07.12.22;mc032;9
08.12.22;mc032;12
09.12.22;mc032;17
10.12.22;mc032;17
11.12.22;mc032;17
12.12.22;mc032;14
13.12.22;mc032;19
01.10.22;mc042;14
02.10.22;mc042;12
03.10.22;mc042;11
04.10.22;mc042;14
05.10.22;mc042;15
06.10.22;mc042;14
07.10.22;mc042;20
08.10.22;mc042;15
09.10.22;mc042;12
10.10.22;mc042;16
11.10.22;mc042;18
12.10.22;mc042;22
13.10.22;mc042;31
14.10.22;mc042;27
15.10.22;mc042;17
16.10.22;mc042;15
17.10.22;mc042;20
18.10.22;mc042;18
19.10.22;mc042;10
20.10.22;mc042;13
21.10.22;mc042;21
22.10.22;mc042;20
23.10.22;mc042;16
24.10.22;mc042;15
25.10.22;mc042;15
26.10.22;mc042;18
27.10.22;mc042;19
28.10.22;mc042;23
29.10.22;mc042;31
30.10.22;mc042;40
31.10.22;mc042;41
01.11.22;mc042;30
02.11.22;mc042;16
03.11.22;mc042;15
04.11.22;mc042;18
05.11.22;mc042;19
06.11.22;mc042;14
07.11.22;mc042;13
08.11.22;mc042;12
09.11.22;mc042;11
10.11.22;mc042;14
11.11.22;mc042;16
12.11.22;mc042;23
