,datetime,station,core,component,period,value,grade
4,2022-12-15T17:00:00+01:00,mc010,,co,8h,,
9,2022-12-15T17:00:00+01:00,mc014,,co,8h,,
14,2022-12-15T17:00:00+01:00,mc018,,co,8h,,
19,2022-12-15T17:00:00+01:00,mc027,,co,8h,,
24,2022-12-15T17:00:00+01:00,mc032,,co,8h,,
29,2022-12-15T17:00:00+01:00,mc042,,co,8h,,
34,2022-12-15T17:00:00+01:00,mc077,,co,8h,,
39,2022-12-15T17:00:00+01:00,mc085,,co,8h,,
44,2022-12-15T17:00:00+01:00,mc115,,co,8h,,
49,2022-12-15T17:00:00+01:00,mc117,,co,8h,1.0,1.0
54,2022-12-15T17:00:00+01:00,mc124,,co,8h,,
59,2022-12-15T17:00:00+01:00,mc143,,co,8h,,
64,2022-12-15T17:00:00+01:00,mc145,,co,8h,,
69,2022-12-15T17:00:00+01:00,mc171,,co,8h,,
74,2022-12-15T17:00:00+01:00,mc174,,co,8h,1.0,1.0
79,2022-12-15T17:00:00+01:00,mc190,,co,8h,,
84,2022-12-15T17:00:00+01:00,MC221,,co,8h,,
89,2022-12-15T17:00:00+01:00,mc282,,co,8h,,
