,name,code,codeEu,address,lat,lng,active,PLZ,address
0,010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,True,13353,"Wedding, Amrumer Str./Limburger Str."
1,018 Schöneberg,mc018,DEBE018,"10823 Berlin, Belziger Str. 52",52.48579000,13.34885000,True,10823,"Berlin, Belziger Str. 52"
2,027 Marienfelde,mc027,DEBE027,"12307 Berlin, Schichauweg 60",52.39840000,13.36807500,True,12307,"Berlin, Schichauweg 60"
3,032 Grunewald,mc032,DEBE032,"14193 Berlin, Jagen 91",52.47319000,13.22514000,True,14193,"Berlin, Jagen 91"
4,042 Neukölln,mc042,DEBE034,"12047 Berlin, Nansenstr. 10",52.48945100,13.43084400,True,12047,"Berlin, Nansenstr. 10"
5,077 Buch,mc077,DEBE051,"13125 Berlin, Hobrechtsfelder Chaussee 112",52.64410000,13.48330000,True,13125,"Berlin, Hobrechtsfelder Chaussee 112"
6,085 Friedrichshagen,mc085,DEBE056,"12587 Berlin, Müggelseedamm 307-310",52.44769700,13.64705000,True,12587,"Berlin, Müggelseedamm 307-310"
7,115 Hardenbergplatz,mc115,DEBE067,"10623 Berlin, Hardenbergplatz",52.50663000,13.33297600,True,10623,"Berlin, Hardenbergplatz"
8,117 Schildhornstraße,mc117,DEBE061,"12163 Berlin, Schildhornstr. 76",52.46362000,13.31832000,True,12163,"Berlin, Schildhornstr. 76"
9,124 Mariendorfer Damm,mc124,DEBE069,"12099 Berlin, Mariendorfer Damm 148",52.43811500,13.38772000,True,12099,"Berlin, Mariendorfer Damm 148"
10,143 Silbersteinstraße,mc143,DEBE063,"12051 Berlin, Silbersteinstr. 1",52.46752000,13.44162000,True,12051,"Berlin, Silbersteinstr. 1"
11,145 Frohnau,mc145,DEBE062,"13465 Berlin, Jägerstieg 1",52.65327000,13.29608000,True,13465,"Berlin, Jägerstieg 1"
12,171 Mitte,mc171,DEBE068,"10179 Berlin, Brückenstr. 6",52.51361000,13.41883000,True,10179,"Berlin, Brückenstr. 6"
13,174 Frankfurter Allee,mc174,DEBE065,"10247 Berlin, Frankfurter Allee 86b",52.51407000,13.46993000,True,10247,"Berlin, Frankfurter Allee 86b"
14,220 Karl-Marx-Straße,mc220,DEBE064,"12043 Berlin, Karl-Marx-Str. 76",52.48168000,13.43394000,False,12043,"Berlin, Karl-Marx-Str. 76"
15,282 Karlshorst,mc282,DEBE066,"10318 Berlin, Johanna-und-Willy-Brauer-Platz",52.48530000,13.52950000,True,10318,"Berlin, Johanna-und-Willy-Brauer-Platz"
16,088 Messwagen Leipziger Str.,mw088,,"seit 12/2017: Leipziger Str. 20, Berlin-Mitte",52.51018000,13.38840000,False,seit,"12/2017: Leipziger Str. 20, Berlin-Mitte"
17,014 Sondermessstation,mc014,DEBE014,"14059 Berlin, Lerschpfad 17",52.51654900,13.28387100,True,14059,"Berlin, Lerschpfad 17"
18,190 Leipziger Straße,mc190,,"10117 Berlin, Leipziger Straße 5",52.50981300,13.38237700,True,10117,"Berlin, Leipziger Straße 5"
19,221 Karl-Marx-Straße,MC221,,"12043 Berlin, Karl-Marx-Str. 38",52.48381200,13.42967200,True,12043,"Berlin, Karl-Marx-Str. 38"
