,datetime,station,core,component,period,value,grade
0,2022-12-15T17:00:00+01:00,mc010,,lqi,1h,4.0,4.0
5,2022-12-15T17:00:00+01:00,mc014,,lqi,1h,0.0,0.0
10,2022-12-15T17:00:00+01:00,mc018,,lqi,1h,0.0,0.0
15,2022-12-15T17:00:00+01:00,mc027,,lqi,1h,0.0,0.0
20,2022-12-15T17:00:00+01:00,mc032,,lqi,1h,4.0,4.0
25,2022-12-15T17:00:00+01:00,mc042,,lqi,1h,4.0,4.0
30,2022-12-15T17:00:00+01:00,mc077,,lqi,1h,4.0,4.0
35,2022-12-15T17:00:00+01:00,mc085,,lqi,1h,4.0,4.0
40,2022-12-15T17:00:00+01:00,mc115,,lqi,1h,0.0,0.0
45,2022-12-15T17:00:00+01:00,mc117,,lqi,1h,4.0,4.0
50,2022-12-15T17:00:00+01:00,mc124,,lqi,1h,4.0,4.0
55,2022-12-15T17:00:00+01:00,mc143,,lqi,1h,4.0,4.0
60,2022-12-15T17:00:00+01:00,mc145,,lqi,1h,0.0,0.0
65,2022-12-15T17:00:00+01:00,mc171,,lqi,1h,4.0,4.0
70,2022-12-15T17:00:00+01:00,mc174,,lqi,1h,5.0,5.0
75,2022-12-15T17:00:00+01:00,mc190,,lqi,1h,4.0,4.0
80,2022-12-15T17:00:00+01:00,MC221,,lqi,1h,5.0,5.0
85,2022-12-15T17:00:00+01:00,mc282,,lqi,1h,0.0,0.0
