,datetime,station,core,component,period,value,grade
2,2022-12-14T15:00:00+01:00,mc010,,no2,1h,2.0,2.0
7,2022-12-14T15:00:00+01:00,mc014,,no2,1h,3.0,3.0
12,2022-12-14T15:00:00+01:00,mc018,,no2,1h,2.0,2.0
17,2022-12-14T15:00:00+01:00,mc027,,no2,1h,2.0,2.0
22,2022-12-14T15:00:00+01:00,mc032,,no2,1h,2.0,2.0
27,2022-12-14T15:00:00+01:00,mc042,,no2,1h,2.0,2.0
32,2022-12-14T15:00:00+01:00,mc077,,no2,1h,1.0,1.0
37,2022-12-14T15:00:00+01:00,mc085,,no2,1h,1.0,1.0
42,2022-12-14T15:00:00+01:00,mc115,,no2,1h,2.0,2.0
47,2022-12-14T15:00:00+01:00,mc117,,no2,1h,3.0,3.0
52,2022-12-14T15:00:00+01:00,mc124,,no2,1h,2.0,2.0
57,2022-12-14T15:00:00+01:00,mc143,,no2,1h,3.0,3.0
62,2022-12-14T15:00:00+01:00,mc145,,no2,1h,2.0,2.0
67,2022-12-14T15:00:00+01:00,mc171,,no2,1h,2.0,2.0
72,2022-12-14T15:00:00+01:00,mc174,,no2,1h,2.0,2.0
77,2022-12-14T15:00:00+01:00,mc190,,no2,1h,3.0,3.0
82,2022-12-14T15:00:00+01:00,MC221,,no2,1h,2.0,2.0
87,2022-12-14T15:00:00+01:00,mc282,,no2,1h,1.0,1.0
