,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,o3,1h,1.0,1.0
1,2022-12-06T14:00:00+01:00,mc014,,o3,1h,,
2,2022-12-06T14:00:00+01:00,mc018,,o3,1h,,
3,2022-12-06T14:00:00+01:00,mc027,,o3,1h,1.0,1.0
4,2022-12-06T14:00:00+01:00,mc032,,o3,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,o3,1h,1.0,1.0
6,2022-12-06T14:00:00+01:00,mc077,,o3,1h,1.0,1.0
7,2022-12-06T14:00:00+01:00,mc085,,o3,1h,1.0,1.0
8,2022-12-06T14:00:00+01:00,mc115,,o3,1h,,
9,2022-12-06T14:00:00+01:00,mc117,,o3,1h,,
10,2022-12-06T14:00:00+01:00,mc124,,o3,1h,,
11,2022-12-06T14:00:00+01:00,mc143,,o3,1h,,
12,2022-12-06T14:00:00+01:00,mc145,,o3,1h,1.0,1.0
13,2022-12-06T14:00:00+01:00,mc171,,o3,1h,,
14,2022-12-06T14:00:00+01:00,mc174,,o3,1h,1.0,1.0
15,2022-12-06T14:00:00+01:00,mc190,,o3,1h,,
16,2022-12-06T14:00:00+01:00,MC221,,o3,1h,,
17,2022-12-06T14:00:00+01:00,mc282,,o3,1h,,
18,2022-12-08T11:00:00+01:00,mc010,,o3,1h,1.0,1.0
19,2022-12-08T11:00:00+01:00,mc014,,o3,1h,,
20,2022-12-08T11:00:00+01:00,mc018,,o3,1h,,
21,2022-12-08T11:00:00+01:00,mc027,,o3,1h,1.0,1.0
22,2022-12-08T11:00:00+01:00,mc032,,o3,1h,1.0,1.0
23,2022-12-08T11:00:00+01:00,mc042,,o3,1h,1.0,1.0
24,2022-12-08T11:00:00+01:00,mc077,,o3,1h,1.0,1.0
25,2022-12-08T11:00:00+01:00,mc085,,o3,1h,2.0,2.0
26,2022-12-08T11:00:00+01:00,mc115,,o3,1h,,
27,2022-12-08T11:00:00+01:00,mc117,,o3,1h,,
28,2022-12-08T11:00:00+01:00,mc124,,o3,1h,,
29,2022-12-08T11:00:00+01:00,mc143,,o3,1h,,
30,2022-12-08T11:00:00+01:00,mc145,,o3,1h,-1.0,-1.0
31,2022-12-08T11:00:00+01:00,mc171,,o3,1h,,
32,2022-12-08T11:00:00+01:00,mc174,,o3,1h,1.0,1.0
33,2022-12-08T11:00:00+01:00,mc190,,o3,1h,,
34,2022-12-08T11:00:00+01:00,MC221,,o3,1h,,
35,2022-12-08T11:00:00+01:00,mc282,,o3,1h,,
36,2022-12-12T16:00:00+01:00,mc010,,o3,1h,1.0,1.0
37,2022-12-12T16:00:00+01:00,mc014,,o3,1h,,
38,2022-12-12T16:00:00+01:00,mc018,,o3,1h,,
39,2022-12-12T16:00:00+01:00,mc027,,o3,1h,1.0,1.0
40,2022-12-12T16:00:00+01:00,mc032,,o3,1h,1.0,1.0
41,2022-12-12T16:00:00+01:00,mc042,,o3,1h,1.0,1.0
42,2022-12-12T16:00:00+01:00,mc077,,o3,1h,2.0,2.0
43,2022-12-12T16:00:00+01:00,mc085,,o3,1h,2.0,2.0
44,2022-12-12T16:00:00+01:00,mc115,,o3,1h,,
45,2022-12-12T16:00:00+01:00,mc117,,o3,1h,,
46,2022-12-12T16:00:00+01:00,mc124,,o3,1h,,
47,2022-12-12T16:00:00+01:00,mc143,,o3,1h,,
48,2022-12-12T16:00:00+01:00,mc145,,o3,1h,2.0,2.0
49,2022-12-12T16:00:00+01:00,mc171,,o3,1h,,
50,2022-12-12T16:00:00+01:00,mc174,,o3,1h,-1.0,-1.0
51,2022-12-12T16:00:00+01:00,mc190,,o3,1h,,
52,2022-12-12T16:00:00+01:00,MC221,,o3,1h,,
53,2022-12-12T16:00:00+01:00,mc282,,o3,1h,,
54,2022-12-13T11:00:00+01:00,mc010,,o3,1h,1.0,1.0
55,2022-12-13T11:00:00+01:00,mc014,,o3,1h,,
56,2022-12-13T11:00:00+01:00,mc018,,o3,1h,,
57,2022-12-13T11:00:00+01:00,mc027,,o3,1h,1.0,1.0
58,2022-12-13T11:00:00+01:00,mc032,,o3,1h,1.0,1.0
59,2022-12-13T11:00:00+01:00,mc042,,o3,1h,1.0,1.0
60,2022-12-13T11:00:00+01:00,mc077,,o3,1h,1.0,1.0
61,2022-12-13T11:00:00+01:00,mc085,,o3,1h,1.0,1.0
62,2022-12-13T11:00:00+01:00,mc115,,o3,1h,,
63,2022-12-13T11:00:00+01:00,mc117,,o3,1h,,
64,2022-12-13T11:00:00+01:00,mc124,,o3,1h,,
65,2022-12-13T11:00:00+01:00,mc143,,o3,1h,,
66,2022-12-13T11:00:00+01:00,mc145,,o3,1h,1.0,1.0
67,2022-12-13T11:00:00+01:00,mc171,,o3,1h,,
68,2022-12-13T11:00:00+01:00,mc174,,o3,1h,1.0,1.0
69,2022-12-13T11:00:00+01:00,mc190,,o3,1h,,
70,2022-12-13T11:00:00+01:00,MC221,,o3,1h,,
71,2022-12-13T11:00:00+01:00,mc282,,o3,1h,,
72,2022-12-14T15:00:00+01:00,mc010,,o3,1h,1.0,1.0
73,2022-12-14T15:00:00+01:00,mc014,,o3,1h,,
74,2022-12-14T15:00:00+01:00,mc018,,o3,1h,,
75,2022-12-14T15:00:00+01:00,mc027,,o3,1h,1.0,1.0
76,2022-12-14T15:00:00+01:00,mc032,,o3,1h,1.0,1.0
77,2022-12-14T15:00:00+01:00,mc042,,o3,1h,1.0,1.0
78,2022-12-14T15:00:00+01:00,mc077,,o3,1h,1.0,1.0
79,2022-12-14T15:00:00+01:00,mc085,,o3,1h,1.0,1.0
80,2022-12-14T15:00:00+01:00,mc115,,o3,1h,,
81,2022-12-14T15:00:00+01:00,mc117,,o3,1h,,
82,2022-12-14T15:00:00+01:00,mc124,,o3,1h,,
83,2022-12-14T15:00:00+01:00,mc143,,o3,1h,,
84,2022-12-14T15:00:00+01:00,mc145,,o3,1h,1.0,1.0
85,2022-12-14T15:00:00+01:00,mc171,,o3,1h,,
86,2022-12-14T15:00:00+01:00,mc174,,o3,1h,1.0,1.0
87,2022-12-14T15:00:00+01:00,mc190,,o3,1h,,
88,2022-12-14T15:00:00+01:00,MC221,,o3,1h,,
89,2022-12-14T15:00:00+01:00,mc282,,o3,1h,,
90,2022-12-14T15:00:00+01:00,mc010,,o3,1h,1.0,1.0
91,2022-12-14T15:00:00+01:00,mc014,,o3,1h,,
92,2022-12-14T15:00:00+01:00,mc018,,o3,1h,,
93,2022-12-14T15:00:00+01:00,mc027,,o3,1h,1.0,1.0
94,2022-12-14T15:00:00+01:00,mc032,,o3,1h,1.0,1.0
95,2022-12-14T15:00:00+01:00,mc042,,o3,1h,1.0,1.0
96,2022-12-14T15:00:00+01:00,mc077,,o3,1h,1.0,1.0
97,2022-12-14T15:00:00+01:00,mc085,,o3,1h,1.0,1.0
98,2022-12-14T15:00:00+01:00,mc115,,o3,1h,,
99,2022-12-14T15:00:00+01:00,mc117,,o3,1h,,
100,2022-12-14T15:00:00+01:00,mc124,,o3,1h,,
101,2022-12-14T15:00:00+01:00,mc143,,o3,1h,,
102,2022-12-14T15:00:00+01:00,mc145,,o3,1h,1.0,1.0
103,2022-12-14T15:00:00+01:00,mc171,,o3,1h,,
104,2022-12-14T15:00:00+01:00,mc174,,o3,1h,1.0,1.0
105,2022-12-14T15:00:00+01:00,mc190,,o3,1h,,
106,2022-12-14T15:00:00+01:00,MC221,,o3,1h,,
107,2022-12-14T15:00:00+01:00,mc282,,o3,1h,,
