,datetime,station,core,component,period,value,grade
1,2022-12-14T15:00:00+01:00,mc010,,pm10,24h,3.0,3.0
6,2022-12-14T15:00:00+01:00,mc014,,pm10,24h,,
11,2022-12-14T15:00:00+01:00,mc018,,pm10,24h,,
16,2022-12-14T15:00:00+01:00,mc027,,pm10,24h,,
21,2022-12-14T15:00:00+01:00,mc032,,pm10,24h,3.0,3.0
26,2022-12-14T15:00:00+01:00,mc042,,pm10,24h,3.0,3.0
31,2022-12-14T15:00:00+01:00,mc077,,pm10,24h,3.0,3.0
36,2022-12-14T15:00:00+01:00,mc085,,pm10,24h,3.0,3.0
41,2022-12-14T15:00:00+01:00,mc115,,pm10,24h,,
46,2022-12-14T15:00:00+01:00,mc117,,pm10,24h,3.0,3.0
51,2022-12-14T15:00:00+01:00,mc124,,pm10,24h,3.0,3.0
56,2022-12-14T15:00:00+01:00,mc143,,pm10,24h,3.0,3.0
61,2022-12-14T15:00:00+01:00,mc145,,pm10,24h,,
66,2022-12-14T15:00:00+01:00,mc171,,pm10,24h,3.0,3.0
71,2022-12-14T15:00:00+01:00,mc174,,pm10,24h,3.0,3.0
76,2022-12-14T15:00:00+01:00,mc190,,pm10,24h,3.0,3.0
81,2022-12-14T15:00:00+01:00,MC221,,pm10,24h,3.0,3.0
86,2022-12-14T15:00:00+01:00,mc282,,pm10,24h,,
