,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,Benzol,Toluol,code
1,Jan 2010,51,,34,11,50,,2.8,2.9,mc010
2,Feb 2010,35,,37,8,49,39,1.9,2.4,mc010
3,Mär 2010,25,,30,7,41,48,1.0,1.9,mc010
4,Apr 2010,24,,27,5,35,63,0.8,1.9,mc010
5,Mai 2010,18,,21,3,26,51,0.6,1.7,mc010
6,Jun 2010,18,,21,3,25,66,0.5,2.1,mc010
7,Jul 2010,21,,23,2,25,81,0.4,2.0,mc010
8,Aug 2010,16,,24,4,30,50,0.5,2.2,mc010
9,Sep 2010,17,,27,8,40,32,0.8,2.6,mc010
10,Okt 2010,26,,33,14,55,21,1.3,3.1,mc010
11,Nov 2010,19,,27,11,45,23,1.2,2.3,mc010
12,Dez 2010,34,,34,14,56,22,2.0,2.4,mc010
13,Jan 2011,22,,34,11,51,26,1.4,2.2,mc010
14,Feb 2011,43,,29,6,38,42,1.8,2.0,mc010
15,Mär 2011,37,,39,13,58,44,1.4,3.0,mc010
16,Apr 2011,26,,28,7,39,65,0.8,2.6,mc010
17,Mai 2011,21,,29,4,35,69,0.6,2.5,mc010
18,Jun 2011,16,,21,3,25,66,0.4,1.8,mc010
19,Jul 2011,14,,20,3,25,53,0.4,2.0,mc010
20,Aug 2011,19,,26,4,32,48,0.6,2.5,mc010
21,Sep 2011,23,,35,18,63,34,1.0,4.2,mc010
22,Okt 2011,27,,33,19,61,25,1.4,4.2,mc010
23,Nov 2011,51,,38,24,74,12,2.5,4.9,mc010
24,Dez 2011,14,,26,9,40,30,0.8,2.2,mc010
25,Jan 2012,25,,26,8,38,31,1.3,2.3,mc010
26,Feb 2012,26,,31,9,45,,1.3,2.6,mc010
27,Mär 2012,29,,28,10,43,46,1.0,2.7,mc010
28,Apr 2012,22,,28,7,38,60,0.9,2.8,mc010
29,Mai 2012,22,,21,3,24,71,0.6,2.1,mc010
30,Jun 2012,19,,24,4,30,59,0.8,2.7,mc010
31,Jul 2012,20,,23,4,29,58,0.6,2.8,mc010
32,Aug 2012,22,,27,4,34,53,0.8,4.0,mc010
33,Sep 2012,18,,32,10,46,38,1.0,5.1,mc010
34,Okt 2012,22,,34,18,61,23,1.4,5.5,mc010
35,Nov 2012,27,,35,20,65,14,1.8,4.9,mc010
36,Dez 2012,29,,35,16,59,18,2.2,4.6,mc010
37,Jan 2013,29,,28,8,40,32,1.8,3.4,mc010
