,Messkomponente,Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Jan 2010,40,12,59,mc018
1,Feb 2010,39,7,51,mc018
2,Mär 2010,32,6,42,mc018
3,Apr 2010,28,5,35,mc018
4,Mai 2010,22,3,26,mc018
5,Jun 2010,20,3,24,mc018
6,Jul 2010,21,2,24,mc018
7,Aug 2010,23,3,28,mc018
8,Sep 2010,29,8,40,mc018
9,Okt 2010,34,12,53,mc018
10,Nov 2010,30,12,48,mc018
11,Dez 2010,40,15,63,mc018
12,Jan 2011,36,11,53,mc018
13,Feb 2011,31,6,40,mc018
14,Mär 2011,41,11,57,mc018
15,Apr 2011,27,5,35,mc018
16,Mai 2011,26,3,30,mc018
17,Jun 2011,19,2,21,mc018
18,Jul 2011,18,3,22,mc018
19,Aug 2011,23,4,28,mc018
20,Sep 2011,31,15,55,mc018
21,Okt 2011,31,15,54,mc018
22,Nov 2011,38,23,73,mc018
23,Dez 2011,26,6,36,mc018
24,Jan 2012,30,8,42,mc018
25,Feb 2012,33,8,45,mc018
26,Mär 2012,29,7,40,mc018
27,Apr 2012,27,4,34,mc018
28,Mai 2012,20,3,24,mc018
29,Jun 2012,19,2,23,mc018
30,Jul 2012,19,3,24,mc018
31,Aug 2012,24,3,28,mc018
32,Sep 2012,27,6,36,mc018
33,Okt 2012,33,18,60,mc018
34,Nov 2012,33,19,62,mc018
35,Dez 2012,34,15,58,mc018
36,Jan 2013,31,8,42,mc018
37,Feb 2013,29,5,37,mc018
38,Mär 2013,33,5,41,mc018
39,Apr 2013,28,5,36,mc018
40,Mai 2013,22,3,26,mc018
41,Jun 2013,17,2,20,mc018
42,Jul 2013,19,3,23,mc018
43,Aug 2013,25,4,31,mc018
44,Sep 2013,25,6,33,mc018
45,Okt 2013,32,11,48,mc018
46,Nov 2013,32,11,48,mc018
47,Dez 2013,31,14,52,mc018
48,Jan 2014,33,11,51,mc018
49,Feb 2014,37,11,54,mc018
50,Mär 2014,35,11,52,mc018
51,Apr 2014,26,4,32,mc018
52,Mai 2014,19,3,23,mc018
53,Jun 2014,20,4,26,mc018
54,Jul 2014,20,2,22,mc018
55,Aug 2014,21,3,26,mc018
56,Sep 2014,26,5,34,mc018
57,Okt 2014,30,15,52,mc018
58,Nov 2014,28,16,52,mc018
59,Dez 2014,27,9,41,mc018
60,Jan 2015,26,7,37,mc018
61,Feb 2015,34,12,52,mc018
62,Mär 2015,30,6,39,mc018
63,Apr 2015,24,5,31,mc018
64,Mai 2015,22,3,26,mc018
65,Jun 2015,17,2,20,mc018
66,Jul 2015,18,3,21,mc018
67,Aug 2015,23,3,28,mc018
68,Sep 2015,25,5,32,mc018
69,Okt 2015,34,15,58,mc018
70,Nov 2015,29,22,63,mc018
71,Dez 2015,28,9,41,mc018
72,Jan 2016,33,12,52,mc018
73,Feb 2016,27,7,37,mc018
74,Mär 2016,29,9,43,mc018
75,Apr 2016,27,5,35,mc018
76,Mai 2016,20,2,23,mc018
77,Jun 2016,21,2,24,mc018
78,Jul 2016,17,2,20,mc018
79,Aug 2016,20,3,25,mc018
80,Sep 2016,29,4,36,mc018
81,Okt 2016,24,8,37,mc018
82,Nov 2016,33,17,60,mc018
83,Dez 2016,32,13,52,mc018
84,Jan 2017,36,10,52,mc018
85,Feb 2017,34,11,50,mc018
86,Mär 2017,31,7,41,mc018
87,Apr 2017,20,2,24,mc018
88,Mai 2017,20,2,23,mc018
89,Jun 2017,16,2,18,mc018
90,Jul 2017,17,2,20,mc018
91,Aug 2017,20,3,25,mc018
92,Sep 2017,24,6,33,mc018
93,Okt 2017,22,8,33,mc018
94,Nov 2017,28,8,41,mc018
95,Dez 2017,25,6,35,mc018
96,Jan 2018,27,8,39,mc018
97,Feb 2018,34,8,46,mc018
98,Mär 2018,31,5,39,mc018
99,Apr 2018,24,3,29,mc018
100,Mai 2018,18,2,20,mc018
101,Jun 2018,14,1,16,mc018
102,Jul 2018,16,1,18,mc018
103,Aug 2018,18,2,20,mc018
104,Sep 2018,26,4,32,mc018
105,Okt 2018,32,12,51,mc018
106,Nov 2018,32,14,54,mc018
107,Dez 2018,24,6,33,mc018
108,Jan 2019,25,5,32,mc018
109,Feb 2019,34,10,49,mc018
110,Mär 2019,18,2,22,mc018
111,Apr 2019,20,2,22,mc018
112,Mai 2019,15,1,17,mc018
113,Jun 2019,14,1,15,mc018
