,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
0,Dez 2010,27,,23,4,28,31,mc085
1,Jan 2011,18,,18,2,21,35,mc085
2,Feb 2011,40,,16,2,18,52,mc085
3,Mär 2011,31,,20,3,24,53,mc085
4,Apr 2011,23,,12,1,14,73,mc085
5,Mai 2011,17,,9,1,11,81,mc085
6,Jun 2011,13,,8,1,9,73,mc085
7,Jul 2011,11,,8,1,9,60,mc085
8,Aug 2011,15,,9,1,10,58,mc085
9,Sep 2011,16,,13,3,18,43,mc085
10,Okt 2011,20,,15,3,19,33,mc085
11,Nov 2011,42,,19,5,27,21,mc085
12,Dez 2011,10,,14,1,15,39,mc085
13,Jan 2012,20,,17,2,20,38,mc085
14,Feb 2012,25,,21,4,27,39,mc085
15,Mär 2012,23,,17,2,19,53,mc085
16,Apr 2012,17,,10,1,12,72,mc085
17,Mai 2012,17,,8,1,9,79,mc085
18,Jun 2012,14,,8,1,9,70,mc085
19,Jul 2012,16,,8,1,9,64,mc085
20,Aug 2012,17,,10,1,12,61,mc085
21,Sep 2012,14,,13,1,15,49,mc085
22,Okt 2012,16,,14,3,19,35,mc085
23,Nov 2012,19,,18,4,23,26,mc085
24,Dez 2012,23,,21,3,25,41,mc085
25,Jan 2013,23,,14,1,16,43,mc085
26,Feb 2013,27,,14,1,16,47,mc085
27,Mär 2013,24,,15,1,17,74,mc085
28,Apr 2013,22,,12,1,14,74,mc085
29,Mai 2013,17,,9,1,10,69,mc085
30,Jun 2013,16,,6,1,7,72,mc085
31,Jul 2013,18,,9,1,9,70,mc085
32,Aug 2013,19,,11,1,13,64,mc085
33,Sep 2013,13,,12,2,16,43,mc085
34,Okt 2013,19,,13,2,16,34,mc085
35,Nov 2013,15,,19,3,22,28,mc085
36,Dez 2013,14,,17,4,24,30,mc085
37,Jan 2014,31,,15,1,17,32,mc085
38,Feb 2014,20,,15,1,17,43,mc085
39,Mär 2014,31,,17,2,20,48,mc085
40,Apr 2014,22,,9,1,11,66,mc085
41,Mai 2014,14,,6,1,7,69,mc085
42,Jun 2014,15,,7,1,8,66,mc085
43,Jul 2014,22,,8,1,9,74,mc085
44,Aug 2014,15,,11,1,12,64,mc085
45,Sep 2014,24,,12,1,14,53,mc085
46,Okt 2014,24,,15,3,20,30,mc085
47,Nov 2014,31,,16,4,22,20,mc085
48,Dez 2014,20,,16,3,20,35,mc085
49,Jan 2015,17,,13,1,14,44,mc085
50,Feb 2015,25,,17,2,20,42,mc085
51,Mär 2015,23,,14,1,16,55,mc085
52,Apr 2015,17,,12,1,14,68,mc085
53,Mai 2015,15,,10,1,11,74,mc085
54,Jun 2015,16,,8,1,10,76,mc085
55,Jul 2015,16,,8,1,9,77,mc085
56,Aug 2015,23,,10,1,11,90,mc085
57,Sep 2015,13,,12,2,14,53,mc085
58,Okt 2015,34,,18,4,24,30,mc085
59,Nov 2015,18,,17,6,26,33,mc085
60,Dez 2015,16,,16,2,18,34,mc085
61,Jan 2016,28,,20,3,24,30,mc085
62,Feb 2016,17,,14,1,15,48,mc085
63,Mär 2016,23,,15,2,18,49,mc085
64,Apr 2016,17,,12,1,14,65,mc085
65,Mai 2016,20,,8,1,9,83,mc085
66,Jun 2016,17,,8,1,9,71,mc085
67,Jul 2016,14,,9,1,10,65,mc085
68,Aug 2016,13,,10,1,12,56,mc085
69,Sep 2016,16,,12,1,14,66,mc085
70,Okt 2016,15,,12,2,15,24,mc085
71,Nov 2016,19,,19,4,25,24,mc085
72,Dez 2016,17,,23,5,31,25,mc085
73,Jan 2017,22,20.0,21,3,25,34,mc085
74,Feb 2017,30,28.0,17,1,19,45,mc085
75,Mär 2017,16,13.0,14,2,17,55,mc085
76,Apr 2017,14,11.0,12,1,14,65,mc085
77,Mai 2017,16,11.0,8,1,10,72,mc085
78,Jun 2017,12,8.0,8,1,9,67,mc085
79,Jul 2017,12,9.0,8,1,9,58,mc085
80,Aug 2017,13,8.0,9,1,10,62,mc085
81,Sep 2017,15,11.0,11,2,14,43,mc085
82,Okt 2017,14,10.0,13,2,16,37,mc085
83,Nov 2017,16,13.0,16,2,19,31,mc085
84,Dez 2017,14,12.0,16,3,20,34,mc085
85,Jan 2018,17,14.0,13,1,15,39,mc085
86,Feb 2018,25,21.0,15,2,17,46,mc085
87,Mär 2018,27,23.0,15,1,17,54,mc085
88,Apr 2018,19,15.0,10,1,12,72,mc085
89,Mai 2018,20,12.0,7,1,8,85,mc085
90,Jun 2018,17,11.0,8,1,8,76,mc085
91,Jul 2018,16,9.0,8,1,9,78,mc085
92,Aug 2018,16,9.0,9,1,10,82,mc085
93,Sep 2018,16,9.0,11,1,12,63,mc085
94,Okt 2018,21,14.0,15,3,19,47,mc085
95,Nov 2018,27,23.0,15,4,21,23,mc085
96,Dez 2018,14,12.0,14,1,15,31,mc085
97,Jan 2019,17,14.0,13,1,14,43,mc085
98,Feb 2019,23,19.0,22,3,26,37,mc085
99,Mär 2019,13,10.0,10,1,12,60,mc085
