,Messkomponente,Feinstaub (PM10),Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
0,Dez 2010,34.0,66.0,62.0,160.0,,mc115
1,Jan 2011,24.0,64.0,55.0,148.0,,mc115
2,Feb 2011,46.0,63.0,52.0,142.0,,mc115
3,Mär 2011,37.0,72.0,50.0,148.0,,mc115
4,Apr 2011,29.0,63.0,36.0,119.0,,mc115
5,Mai 2011,25.0,70.0,41.0,134.0,,mc115
6,Jun 2011,17.0,59.0,33.0,110.0,,mc115
7,Jul 2011,16.0,57.0,35.0,111.0,,mc115
8,Aug 2011,23.0,67.0,44.0,134.0,,mc115
9,Sep 2011,25.0,77.0,65.0,176.0,,mc115
10,Okt 2011,29.0,69.0,69.0,174.0,,mc115
11,Nov 2011,53.0,78.0,90.0,216.0,,mc115
12,Dez 2011,15.0,51.0,44.0,118.0,,mc115
13,Jan 2012,28.0,50.0,42.0,115.0,,mc115
14,Feb 2012,29.0,54.0,42.0,118.0,,mc115
15,Mär 2012,30.0,56.0,41.0,118.0,,mc115
16,Apr 2012,23.0,67.0,47.0,139.0,,mc115
17,Mai 2012,24.0,61.0,39.0,120.0,,mc115
18,Jun 2012,21.0,57.0,35.0,111.0,,mc115
19,Jul 2012,20.0,60.0,36.0,115.0,,mc115
20,Aug 2012,24.0,65.0,42.0,128.0,,mc115
21,Sep 2012,19.0,60.0,43.0,126.0,,mc115
22,Okt 2012,23.0,68.0,67.0,170.0,,mc115
23,Nov 2012,30.0,64.0,69.0,169.0,,mc115
24,Dez 2012,30.0,65.0,66.0,165.0,,mc115
25,Jan 2013,27.0,54.0,46.0,124.0,,mc115
26,Feb 2013,30.0,57.0,44.0,124.0,,mc115
27,Mär 2013,32.0,65.0,43.0,131.0,,mc115
28,Apr 2013,30.0,69.0,44.0,137.0,,mc115
29,Mai 2013,24.0,68.0,43.0,134.0,,mc115
30,Jun 2013,20.0,58.0,35.0,112.0,,mc115
31,Jul 2013,22.0,59.0,32.0,108.0,,mc115
32,Aug 2013,24.0,72.0,43.0,137.0,,mc115
33,Sep 2013,,60.0,46.0,129.0,,mc115
34,Okt 2013,25.0,69.0,60.0,160.0,,mc115
35,Nov 2013,19.0,60.0,51.0,138.0,,mc115
36,Dez 2013,19.0,60.0,61.0,154.0,,mc115
37,Jan 2014,,61.0,59.0,151.0,,mc115
38,Feb 2014,,70.0,63.0,167.0,,mc115
39,Mär 2014,,67.0,51.0,146.0,,mc115
40,Apr 2014,,61.0,42.0,125.0,,mc115
41,Mai 2014,,52.0,32.0,102.0,,mc115
42,Jun 2014,,56.0,35.0,110.0,,mc115
43,Jul 2014,,64.0,38.0,122.0,,mc115
44,Aug 2014,,60.0,40.0,121.0,,mc115
45,Sep 2014,,69.0,49.0,144.0,,mc115
46,Okt 2014,,71.0,74.0,183.0,,mc115
47,Nov 2014,,64.0,73.0,175.0,,mc115
48,Dez 2014,,50.0,48.0,123.0,,mc115
49,Jan 2015,,47.0,41.0,109.0,,mc115
50,Feb 2015,,56.0,49.0,132.0,,mc115
51,Mär 2015,,55.0,40.0,116.0,,mc115
52,Apr 2015,,51.0,30.0,97.0,,mc115
53,Mai 2015,,51.0,31.0,99.0,,mc115
54,Jun 2015,,51.0,32.0,99.0,,mc115
55,Jul 2015,,51.0,32.0,99.0,,mc115
56,Aug 2015,,63.0,40.0,123.0,,mc115
57,Sep 2015,,54.0,46.0,123.0,,mc115
58,Okt 2015,,59.0,69.0,165.0,,mc115
59,Nov 2015,,50.0,64.0,147.0,,mc115
60,Dez 2015,,48.0,51.0,125.0,,mc115
61,Jan 2016,,50.0,57.0,138.0,,mc115
62,Feb 2016,,46.0,41.0,108.0,,mc115
63,Mär 2016,,50.0,44.0,117.0,,mc115
64,Apr 2016,,53.0,38.0,111.0,,mc115
65,Mai 2016,,51.0,32.0,100.0,,mc115
66,Jun 2016,,56.0,37.0,113.0,,mc115
67,Jul 2016,,48.0,32.0,96.0,,mc115
68,Aug 2016,,51.0,37.0,107.0,,mc115
69,Sep 2016,,65.0,49.0,139.0,,mc115
70,Okt 2016,,44.0,51.0,121.0,,mc115
71,Nov 2016,,52.0,60.0,143.0,,mc115
72,Dez 2016,,48.0,49.0,124.0,,mc115
73,Jan 2017,,52.0,49.0,127.0,,mc115
74,Feb 2017,,51.0,46.0,122.0,,mc115
75,Mär 2017,,52.0,37.0,110.0,,mc115
76,Apr 2017,,38.0,21.0,70.0,,mc115
77,Mai 2017,,48.0,28.0,91.0,,mc115
78,Jun 2017,,42.0,23.0,77.0,,mc115
79,Jul 2017,,42.0,26.0,82.0,,mc115
80,Aug 2017,,47.0,27.0,89.0,,mc115
81,Sep 2017,,44.0,33.0,95.0,,mc115
82,Okt 2017,,39.0,31.0,86.0,,mc115
83,Nov 2017,,44.0,38.0,103.0,,mc115
