,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Jan 2010,61.0,,45,45,115,mc124
1,Feb 2010,47.0,,50,40,110,mc124
2,Mär 2010,53.0,,57,56,143,mc124
3,Apr 2010,39.0,,54,42,117,mc124
4,Mai 2010,32.0,,50,45,120,mc124
5,Jun 2010,32.0,,54,41,116,mc124
6,Jul 2010,34.0,,50,31,98,mc124
7,Aug 2010,29.0,,49,46,120,mc124
8,Sep 2010,28.0,,49,56,135,mc124
9,Okt 2010,35.0,,43,56,128,mc124
10,Nov 2010,30.0,,45,58,135,mc124
11,Dez 2010,42.0,,52,59,142,mc124
12,Jan 2011,37.0,,57,71,165,mc124
13,Feb 2011,53.0,,39,33,89,mc124
14,Mär 2011,48.0,,65,62,160,mc124
15,Apr 2011,36.0,,53,43,119,mc124
16,Mai 2011,29.0,,53,38,111,mc124
17,Jun 2011,22.0,,50,35,104,mc124
18,Jul 2011,20.0,,45,40,106,mc124
19,Aug 2011,24.0,,52,45,121,mc124
20,Sep 2011,28.0,,58,73,170,mc124
21,Okt 2011,31.0,,47,59,137,mc124
22,Nov 2011,50.0,,43,53,124,mc124
23,Dez 2011,19.0,,46,52,125,mc124
24,Jan 2012,32.0,,45,53,127,mc124
25,Feb 2012,39.0,,55,62,149,mc124
26,Mär 2012,36.0,,57,63,153,mc124
27,Apr 2012,26.0,,50,39,110,mc124
28,Mai 2012,26.0,,42,30,89,mc124
29,Jun 2012,24.0,,49,40,110,mc124
30,Jul 2012,25.0,,48,39,107,mc124
31,Aug 2012,26.0,,53,44,119,mc124
32,Sep 2012,24.0,,57,59,147,mc124
33,Okt 2012,25.0,,50,64,148,mc124
34,Nov 2012,29.0,,49,68,152,mc124
35,Dez 2012,33.0,,47,56,132,mc124
36,Jan 2013,33.0,,43,47,116,mc124
37,Feb 2013,40.0,,49,48,123,mc124
38,Mär 2013,38.0,,49,36,105,mc124
39,Apr 2013,39.0,,56,45,125,mc124
40,Mai 2013,26.0,,45,34,97,mc124
41,Jun 2013,25.0,,45,34,98,mc124
42,Jul 2013,27.0,,54,40,115,mc124
43,Aug 2013,27.0,,54,45,123,mc124
44,Sep 2013,22.0,,46,55,129,mc124
45,Okt 2013,27.0,,47,57,133,mc124
46,Nov 2013,25.0,,55,76,171,mc124
47,Dez 2013,27.0,,49,73,161,mc124
48,Jan 2014,38.0,,37,34,89,mc124
49,Feb 2014,36.0,,49,52,129,mc124
50,Mär 2014,43.0,,54,57,141,mc124
51,Apr 2014,30.0,,46,39,104,mc124
52,Mai 2014,21.0,,43,33,94,mc124
53,Jun 2014,,,51,44,118,mc124
54,Jul 2014,28.0,,50,32,98,mc124
55,Aug 2014,23.0,,52,46,122,mc124
56,Sep 2014,30.0,,45,44,113,mc124
57,Okt 2014,33.0,,44,61,137,mc124
58,Nov 2014,37.0,,36,54,119,mc124
59,Dez 2014,29.0,,45,59,136,mc124
60,Jan 2015,28.0,,45,52,124,mc124
61,Feb 2015,41.0,,56,68,159,mc124
62,Mär 2015,33.0,,49,52,128,mc124
63,Apr 2015,26.0,,59,57,146,mc124
64,Mai 2015,27.0,,55,45,123,mc124
65,Jun 2015,26.0,,52,44,119,mc124
66,Jul 2015,27.0,,46,38,104,mc124
67,Aug 2015,31.0,,45,26,84,mc124
68,Sep 2015,23.0,,49,51,127,mc124
69,Okt 2015,38.0,,44,57,131,mc124
70,Nov 2015,27.0,,48,78,166,mc124
71,Dez 2015,26.0,,42,53,122,mc124
72,Jan 2016,40.0,,45,56,131,mc124
73,Feb 2016,30.0,,47,53,127,mc124
74,Mär 2016,32.0,,51,56,137,mc124
75,Apr 2016,24.0,,53,50,129,mc124
76,Mai 2016,24.0,,40,30,86,mc124
77,Jun 2016,22.0,,47,34,99,mc124
78,Jul 2016,20.0,,49,40,111,mc124
79,Aug 2016,18.0,,45,48,119,mc124
80,Sep 2016,24.0,,51,38,108,mc124
81,Okt 2016,24.0,,35,46,105,mc124
82,Nov 2016,25.0,,46,70,153,mc124
83,Dez 2016,25.0,,48,72,158,mc124
84,Jan 2017,34.0,27.0,50,65,148,mc124
85,Feb 2017,46.0,35.0,45,40,106,mc124
86,Mär 2017,28.0,17.0,58,57,146,mc124
87,Apr 2017,24.0,15.0,52,45,121,mc124
88,Mai 2017,26.0,15.0,44,31,91,mc124
89,Jun 2017,22.0,12.0,47,38,105,mc124
90,Jul 2017,22.0,13.0,48,44,115,mc124
91,Aug 2017,21.0,12.0,45,35,98,mc124
92,Sep 2017,24.0,15.0,45,47,117,mc124
93,Okt 2017,23.0,14.0,42,52,122,mc124
94,Nov 2017,25.0,17.0,45,63,141,mc124
95,Dez 2017,21.0,14.0,43,57,130,mc124
96,Jan 2018,23.0,17.0,40,44,108,mc124
97,Feb 2018,34.0,24.0,47,41,110,mc124
98,Mär 2018,34.0,24.0,43,36,98,mc124
99,Apr 2018,30.0,18.0,45,32,95,mc124
100,Mai 2018,25.0,13.0,29,15,52,mc124
101,Jun 2018,21.0,12.0,41,29,85,mc124
102,Jul 2018,20.0,10.0,42,25,80,mc124
103,Aug 2018,21.0,10.0,45,27,86,mc124
104,Sep 2018,22.0,11.0,47,36,102,mc124
105,Okt 2018,26.0,16.0,43,46,114,mc124
106,Nov 2018,31.0,24.0,33,37,90,mc124
