,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Jan 2010,60,,61,89,196,mc143
1,Feb 2010,43,,69,78,188,mc143
2,Mär 2010,40,,60,51,137,mc143
3,Apr 2010,30,,54,37,110,mc143
4,Mai 2010,24,,39,30,86,mc143
5,Jun 2010,26,,49,33,100,mc143
6,Jul 2010,28,,59,38,116,mc143
7,Aug 2010,25,,52,46,122,mc143
8,Sep 2010,25,,52,56,138,mc143
9,Okt 2010,35,,62,88,196,mc143
10,Nov 2010,26,,52,76,169,mc143
11,Dez 2010,36,,59,83,186,mc143
12,Jan 2011,28,,59,78,178,mc143
13,Feb 2011,53,,61,72,171,mc143
14,Mär 2011,46,,65,63,162,mc143
15,Apr 2011,33,,53,38,110,mc143
16,Mai 2011,27,,60,39,120,mc143
17,Jun 2011,20,,44,28,87,mc143
18,Jul 2011,18,,38,27,79,mc143
19,Aug 2011,23,,51,43,117,mc143
20,Sep 2011,29,,62,72,172,mc143
21,Okt 2011,33,,55,75,170,mc143
22,Nov 2011,58,,62,110,229,mc143
23,Dez 2011,14,,43,59,134,mc143
24,Jan 2012,29,,42,53,123,mc143
25,Feb 2012,35,,49,52,129,mc143
26,Mär 2012,38,,47,43,112,mc143
27,Apr 2012,29,,57,50,133,mc143
28,Mai 2012,28,,50,41,112,mc143
29,Jun 2012,23,,48,38,106,mc143
30,Jul 2012,21,,49,39,108,mc143
31,Aug 2012,23,,56,44,124,mc143
32,Sep 2012,19,,53,49,127,mc143
33,Okt 2012,25,,57,84,185,mc143
34,Nov 2012,33,,56,93,198,mc143
35,Dez 2012,35,,59,100,212,mc143
36,Jan 2013,32,,51,70,158,mc143
37,Feb 2013,37,,55,63,152,mc143
38,Mär 2013,41,,64,57,151,mc143
39,Apr 2013,39,,61,53,141,mc143
40,Mai 2013,26,,55,46,125,mc143
41,Jun 2013,19,,44,32,92,mc143
42,Jul 2013,20,,44,27,86,mc143
43,Aug 2013,22,,55,53,134,mc143
44,Sep 2013,16,,51,60,143,mc143
45,Okt 2013,28,,58,91,196,mc143
46,Nov 2013,23,,53,79,174,mc143
47,Dez 2013,24,,53,93,194,mc143
48,Jan 2014,40,,56,100,208,mc143
49,Feb 2014,36,,69,106,231,mc143
50,Mär 2014,46,,69,87,202,mc143
51,Apr 2014,32,,60,57,147,mc143
52,Mai 2014,23,,53,43,119,mc143
53,Jun 2014,16,,51,40,112,mc143
54,Jul 2014,23,,53,36,109,mc143
55,Aug 2014,17,,55,49,130,mc143
56,Sep 2014,29,,53,52,133,mc143
57,Okt 2014,35,,57,95,202,mc143
58,Nov 2014,42,,52,106,215,mc143
59,Dez 2014,27,,49,77,166,mc143
60,Jan 2015,21,,46,62,141,mc143
61,Feb 2015,42,,56,75,170,mc143
62,Mär 2015,34,,55,56,140,mc143
63,Apr 2015,23,,46,35,99,mc143
64,Mai 2015,20,,50,38,108,mc143
65,Jun 2015,20,,45,31,93,mc143
66,Jul 2015,20,,51,36,105,mc143
67,Aug 2015,28,,60,41,123,mc143
68,Sep 2015,18,,52,50,128,mc143
69,Okt 2015,41,,59,93,201,mc143
70,Nov 2015,25,,52,89,187,mc143
71,Dez 2015,22,,50,76,166,mc143
72,Jan 2016,40,,52,82,177,mc143
73,Feb 2016,28,,50,59,140,mc143
74,Mär 2016,32,,52,56,137,mc143
75,Apr 2016,26,,54,51,133,mc143
76,Mai 2016,27,,53,36,109,mc143
77,Jun 2016,23,,55,43,120,mc143
78,Jul 2016,20,,45,32,95,mc143
79,Aug 2016,19,,44,38,102,mc143
80,Sep 2016,27,,67,56,153,mc143
81,Okt 2016,24,,43,68,147,mc143
82,Nov 2016,24,,56,98,205,mc143
83,Dez 2016,22,,51,78,171,mc143
84,Jan 2017,32,26.0,56,73,168,mc143
85,Feb 2017,51,39.0,58,81,182,mc143
86,Mär 2017,30,19.0,60,60,152,mc143
87,Apr 2017,25,17.0,40,28,83,mc143
88,Mai 2017,26,16.0,49,35,102,mc143
89,Jun 2017,21,12.0,43,29,87,mc143
90,Jul 2017,23,14.0,43,33,93,mc143
91,Aug 2017,25,14.0,47,34,99,mc143
92,Sep 2017,28,18.0,48,50,125,mc143
93,Okt 2017,26,17.0,45,59,135,mc143
94,Nov 2017,28,20.0,49,71,157,mc143
95,Dez 2017,22,16.0,44,52,123,mc143
96,Jan 2018,26,20.0,49,66,149,mc143
97,Feb 2018,38,26.0,59,72,168,mc143
98,Mär 2018,40,28.0,57,59,147,mc143
99,Apr 2018,34,21.0,54,40,114,mc143
100,Mai 2018,30,15.0,49,29,94,mc143
101,Jun 2018,24,13.0,38,20,69,mc143
102,Jul 2018,22,11.0,38,18,65,mc143
103,Aug 2018,25,11.0,48,27,90,mc143
104,Sep 2018,27,13.0,52,37,110,mc143
105,Okt 2018,31,19.0,56,63,152,mc143
106,Nov 2018,36,27.0,51,87,184,mc143
107,Dez 2018,21,16.0,37,52,117,mc143
108,Jan 2019,25,19.0,40,45,108,mc143
109,Feb 2019,34,24.0,52,57,140,mc143
110,Mär 2019,20,14.0,37,27,78,mc143
111,Apr 2019,31,18.0,43,28,86,mc143
112,Mai 2019,17,11.0,33,19,62,mc143
113,Jun 2019,21,12.0,45,24,82,mc143
114,Jul 2019,17,10.0,27,13,47,mc143
115,Aug 2019,20,12.0,44,27,85,mc143
116,Sep 2019,17,11.0,38,31,84,mc143
117,Okt 2019,19,13.0,44,52,124,mc143
118,Nov 2019,29,22.0,41,60,132,mc143
119,Dez 2019,23,16.0,42,47,114,mc143
120,Jan 2020,24,17.0,41,40,103,mc143
121,Feb 2020,16,11.0,33,22,67,mc143
122,Mär 2020,24,16.0,38,21,71,mc143
123,Apr 2020,33,13.0,33,14,54,mc143
124,Mai 2020,16,10.0,26,11,44,mc143
125,Jun 2020,19,11.0,35,23,70,mc143
126,Jul 2020,15,9.0,41,43,107,mc143
127,Aug 2020,20,11.0,39,19,69,mc143
128,Sep 2020,20,12.0,41,29,85,mc143
129,Okt 2020,17,12.0,34,37,91,mc143
130,Nov 2020,23,17.0,36,47,109,mc143
131,Dez 2020,28,22.0,33,54,116,mc143
132,Jan 2021,28,16.0,31,32,80,mc143
133,Feb 2021,53,23.0,44,48,118,mc143
134,Mär 2021,33,18.0,43,41,104,mc143
135,Apr 2021,25,13.0,30,17,57,mc143
136,Mai 2021,21,10.0,31,20,62,mc143
137,Jun 2021,29,14.0,37,19,67,mc143
138,Jul 2021,22,12.0,29,17,55,mc143
139,Aug 2021,17,10.0,29,19,57,mc143
140,Sep 2021,25,15.0,35,26,74,mc143
141,Okt 2021,29,16.0,39,37,96,mc143
142,Nov 2021,29,19.0,36,48,110,mc143
143,Dez 2021,25,20.0,36,46,107,mc143
144,Jan 2022,23,15.0,31,26,71,mc143
145,Feb 2022,17,11.0,32,32,82,mc143
146,Mär 2022,43,23.0,47,40,107,mc143
147,Apr 2022,25,12.0,37,28,80,mc143
148,Mai 2022,23,11.0,30,16,53,mc143
149,Jun 2022,20,11.0,31,15,54,mc143
150,Jul 2022,17,9.0,23,10,38,mc143
151,Aug 2022,24,12.0,30,15,53,mc143
152,Sep 2022,19,11.0,33,28,76,mc143
153,Okt 2022,24,15.0,37,43,103,mc143
154,Nov 2022,27,20.0,36,54,119,mc143
