,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Apr 2020,23,12,29,10,45,mc190
1,Mai 2020,15,9,25,9,38,mc190
2,Jun 2020,18,10,25,8,37,mc190
3,Jul 2020,17,9,26,10,42,mc190
4,Aug 2020,21,11,36,11,52,mc190
5,Sep 2020,23,11,42,18,70,mc190
6,Okt 2020,17,11,33,22,67,mc190
7,Nov 2020,21,15,33,26,72,mc190
8,Dez 2020,27,21,31,30,76,mc190
9,Jan 2021,18,13,30,18,57,mc190
10,Feb 2021,33,20,39,24,75,mc190
11,Mär 2021,27,15,35,18,63,mc190
12,Apr 2021,20,11,24,8,36,mc190
13,Mai 2021,15,9,22,8,34,mc190
14,Jun 2021,23,12,28,8,40,mc190
15,Jul 2021,20,11,25,10,40,mc190
16,Aug 2021,15,8,24,9,39,mc190
17,Sep 2021,21,13,31,14,52,mc190
18,Okt 2021,23,14,33,20,63,mc190
19,Nov 2021,23,17,31,26,70,mc190
20,Dez 2021,24,18,31,24,68,mc190
21,Jan 2022,20,13,26,13,45,mc190
22,Feb 2022,16,10,24,10,40,mc190
23,Mär 2022,33,20,35,14,56,mc190
24,Apr 2022,19,11,23,7,34,mc190
25,Mai 2022,21,10,24,8,36,mc190
26,Jun 2022,20,10,27,8,39,mc190
27,Jul 2022,19,8,21,7,31,mc190
28,Aug 2022,24,11,24,7,34,mc190
29,Sep 2022,17,9,29,18,56,mc190
30,Okt 2022,21,13,34,28,77,mc190
31,Nov 2022,25,19,32,33,82,mc190
