Station;145 Frohnau;145 Frohnau;145 Frohnau;145 Frohnau
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte

Jan 2010;19;3;23;40
Feb 2010;20;3;24;51
Mär 2010;14;1;16;57
Apr 2010;11;1;13;71
Mai 2010;8;1;9;54
Jun 2010;7;1;8;67
Jul 2010;10;1;11;80
Aug 2010;10;1;12;48
Sep 2010;10;2;13;36
Okt 2010;16;3;21;30
Nov 2010;13;4;19;29
Dez 2010;21;5;29;34
Jan 2011;20;4;26;34
Feb 2011;13;2;16;54
Mär 2011;17;2;20;
Apr 2011;11;1;12;73
Mai 2011;10;1;12;76
Jun 2011;7;1;8;68
Jul 2011;7;1;8;56
Aug 2011;8;1;10;50
Sep 2011;12;3;17;38
Okt 2011;14;5;21;31
Nov 2011;21;10;36;17
Dez 2011;14;2;18;38
Jan 2012;14;1;16;40
Feb 2012;16;2;19;44
Mär 2012;13;2;17;52
Apr 2012;11;1;12;66
Mai 2012;8;1;9;73
Jun 2012;8;1;9;62
Jul 2012;7;1;8;57
Aug 2012;10;1;12;49
Sep 2012;12;2;15;40
Okt 2012;17;4;23;27
Nov 2012;21;7;32;19
Dez 2012;24;7;34;22
Jan 2013;15;2;17;39
Feb 2013;12;1;13;46
Mär 2013;12;1;14;74
Apr 2013;11;1;13;71
Mai 2013;9;1;10;60
Jun 2013;9;1;10;58
Jul 2013;8;1;9;61
Aug 2013;9;1;11;52
Sep 2013;10;1;13;33
Okt 2013;15;3;20;27
Nov 2013;17;3;21;26
Dez 2013;20;5;28;26
Jan 2014;18;3;22;28
Feb 2014;24;4;30;31
Mär 2014;16;3;19;44
Apr 2014;8;1;10;63
Mai 2014;7;1;8;64
Jun 2014;7;1;8;58
Jul 2014;7;1;8;63
Aug 2014;9;1;11;53
Sep 2014;10;1;12;43
Okt 2014;16;5;24;21
Nov 2014;16;5;24;15
Dez 2014;15;3;19;32
Jan 2015;13;2;16;40
Feb 2015;18;3;23;37
Mär 2015;13;1;16;51
Apr 2015;11;1;12;64
Mai 2015;9;1;11;65
Jun 2015;7;1;8;68
Jul 2015;8;1;9;66
Aug 2015;10;1;11;76
Sep 2015;12;2;14;43
Okt 2015;15;4;21;25
Nov 2015;17;10;32;28
Dez 2015;16;3;21;30
Jan 2016;21;5;28;25
Feb 2016;12;1;15;44
Mär 2016;13;2;17;47
Apr 2016;12;1;14;60
Mai 2016;8;1;9;77
Jun 2016;9;1;10;61
Jul 2016;8;1;9;59
Aug 2016;10;1;11;48
Sep 2016;13;1;15;56
Okt 2016;11;3;16;21
Nov 2016;20;7;30;19
Dez 2016;21;6;31;25
Jan 2017;22;4;28;29
Feb 2017;17;2;20;42
Mär 2017;14;1;16;51
Apr 2017;8;1;9;66
Mai 2017;7;0;8;68
Jun 2017;7;1;8;60
Jul 2017;7;1;8;48
Aug 2017;8;1;9;48
Sep 2017;10;1;11;35
Okt 2017;11;2;13;32
Nov 2017;15;2;18;28
Dez 2017;15;2;18;33
Jan 2018;13;2;16;37
Feb 2018;16;1;18;42
Mär 2018;13;1;15;52
Apr 2018;10;1;11;67
Mai 2018;6;0;7;80
Jun 2018;7;0;7;71
Jul 2018;9;1;9;66
Aug 2018;10;1;10;73
Sep 2018;11;1;13;54
Okt 2018;16;3;20;38
Nov 2018;17;4;24;17
Dez 2018;13;3;18;28
Jan 2019;13;2;15;41
Feb 2019;20;4;25;35
Mär 2019;9;1;10;59
Apr 2019;7;0;8;83
Mai 2019;6;1;7;68
Jun 2019;8;0;8;83
Jul 2019;7;1;8;61
Aug 2019;10;1;12;63
Sep 2019;10;1;11;48
Okt 2019;11;2;14;28
Nov 2019;16;3;20;16
Dez 2019;16;3;20;28
Jan 2020;14;2;17;35
Feb 2020;9;1;9;54
Mär 2020;9;1;10;54
Apr 2020;7;0;7;79
Mai 2020;5;1;6;70
Jun 2020;5;0;6;66
Jul 2020;6;1;7;50
Aug 2020;8;0;8;66
Sep 2020;10;1;12;43
Okt 2020;9;1;11;29
Nov 2020;12;2;15;24
Dez 2020;15;2;19;17
Jan 2021;10;1;11;32
Feb 2021;16;3;20;38
Mär 2021;10;1;12;53
Apr 2021;6;1;7;70
Mai 2021;5;0;6;64
Jun 2021;5;0;6;77
Jul 2021;6;1;6;53
Aug 2021;5;0;6;49
Sep 2021;8;1;9;38
Okt 2021;10;1;12;35
Nov 2021;12;2;15;28
Dez 2021;14;2;17;26
Jan 2022;9;2;9;43
Feb 2022;7;2;7;58
Mär 2022;10;2;11;63
Apr 2022;5;2;5;71
Mai 2022;5;2;5;70
Jun 2022;6;2;6;71
Jul 2022;5;2;6;65
Aug 2022;7;2;8;61
Sep 2022;8;2;9;40
Okt 2022;10;3;13;25
Nov 2022;11;3;15;20
