,Messkomponente,Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Mär 2020,40,33,91,mc014
1,Apr 2020,44,35,97,mc014
2,Mai 2020,44,41,107,mc014
3,Jun 2020,49,44,115,mc014
4,Jul 2020,37,34,88,mc014
5,Aug 2020,49,31,97,mc014
6,Sep 2020,47,41,110,mc014
7,Okt 2020,34,38,92,mc014
8,Nov 2020,31,35,85,mc014
9,Dez 2020,32,40,94,mc014
10,Jan 2021,34,38,93,mc014
11,Feb 2021,45,45,115,mc014
12,Mär 2021,43,44,111,mc014
13,Apr 2021,43,39,102,mc014
14,Mai 2021,33,25,71,mc014
15,Jun 2021,48,34,99,mc014
16,Jul 2021,33,25,71,mc014
17,Aug 2021,34,31,81,mc014
18,Sep 2021,40,37,97,mc014
19,Okt 2021,34,30,80,mc014
20,Nov 2021,30,34,82,mc014
21,Dez 2021,35,41,98,mc014
22,Jan 2022,30,27,71,mc014
23,Feb 2022,25,19,54,mc014
24,Mär 2022,54,51,131,mc014
25,Apr 2022,40,32,90,mc014
26,Mai 2022,38,28,80,mc014
27,Jun 2022,42,27,82,mc014
28,Jul 2022,39,27,80,mc014
29,Aug 2022,49,36,105,mc014
30,Sep 2022,34,31,81,mc014
31,Okt 2022,31,29,75,mc014
32,Nov 2022,31,38,89,mc014
