,Messkomponente,Feinstaub (PM10),Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
0,Jan 2010,51.0,28,6,37,29.0,mc027
1,Feb 2010,36.0,21,3,25,51.0,mc027
2,Mär 2010,23.0,18,3,22,57.0,mc027
3,Apr 2010,24.0,15,2,18,69.0,mc027
4,Mai 2010,19.0,11,1,14,57.0,mc027
5,Jun 2010,19.0,12,2,14,72.0,mc027
6,Jul 2010,23.0,12,1,14,87.0,mc027
7,Aug 2010,17.0,11,1,13,55.0,mc027
8,Sep 2010,16.0,15,3,19,39.0,mc027
9,Okt 2010,24.0,18,4,25,30.0,mc027
10,Nov 2010,17.0,18,5,26,28.0,mc027
11,Dez 2010,29.0,27,6,36,29.0,mc027
12,Jan 2011,,21,3,25,35.0,mc027
13,Feb 2011,,21,2,24,,mc027
14,Mär 2011,,24,3,28,52.0,mc027
15,Apr 2011,,17,2,19,71.0,mc027
16,Mai 2011,,14,1,16,78.0,mc027
17,Jun 2011,,10,1,11,74.0,mc027
18,Jul 2011,,8,1,10,61.0,mc027
19,Aug 2011,,11,1,13,53.0,mc027
20,Sep 2011,,14,3,18,41.0,mc027
21,Okt 2011,,17,5,24,31.0,mc027
22,Nov 2011,,27,10,42,15.0,mc027
23,Dez 2011,,13,2,15,40.0,mc027
24,Jan 2012,,17,4,22,38.0,mc027
25,Feb 2012,,24,4,30,39.0,mc027
26,Mär 2012,,18,2,22,51.0,mc027
27,Apr 2012,,14,2,16,67.0,mc027
28,Mai 2012,,10,1,11,76.0,mc027
29,Jun 2012,,9,1,10,66.0,mc027
30,Jul 2012,,10,1,11,61.0,mc027
31,Aug 2012,,13,1,15,59.0,mc027
32,Sep 2012,,13,2,16,48.0,mc027
33,Okt 2012,,16,4,22,32.0,mc027
34,Nov 2012,,20,5,28,20.0,mc027
35,Dez 2012,,22,6,30,27.0,mc027
36,Jan 2013,,18,2,22,38.0,mc027
37,Feb 2013,,20,2,23,42.0,mc027
38,Mär 2013,,20,2,23,69.0,mc027
39,Apr 2013,,16,1,18,69.0,mc027
40,Mai 2013,,12,1,13,60.0,mc027
41,Jun 2013,,10,1,11,65.0,mc027
42,Jul 2013,,11,1,12,68.0,mc027
43,Aug 2013,,14,2,16,59.0,mc027
44,Sep 2013,,12,2,16,36.0,mc027
45,Okt 2013,,16,3,20,30.0,mc027
46,Nov 2013,,19,3,23,27.0,mc027
47,Dez 2013,,17,4,23,29.0,mc027
48,Jan 2014,,20,3,24,27.0,mc027
49,Feb 2014,,17,2,19,38.0,mc027
50,Mär 2014,,21,4,27,45.0,mc027
51,Apr 2014,,14,2,17,61.0,mc027
52,Mai 2014,,10,1,11,65.0,mc027
53,Jun 2014,,9,1,11,64.0,mc027
54,Jul 2014,,11,1,12,68.0,mc027
55,Aug 2014,,13,1,14,60.0,mc027
56,Sep 2014,,15,1,17,48.0,mc027
57,Okt 2014,,18,3,23,25.0,mc027
58,Nov 2014,,20,5,27,16.0,mc027
59,Dez 2014,,17,3,21,32.0,mc027
60,Jan 2015,,13,1,15,41.0,mc027
61,Feb 2015,,18,3,22,40.0,mc027
62,Mär 2015,,16,2,19,53.0,mc027
63,Apr 2015,,13,2,16,65.0,mc027
64,Mai 2015,,10,1,12,70.0,mc027
65,Jun 2015,,9,1,10,73.0,mc027
66,Jul 2015,,8,1,9,73.0,mc027
67,Aug 2015,,12,1,13,85.0,mc027
68,Sep 2015,,13,2,16,47.0,mc027
69,Okt 2015,,21,5,28,27.0,mc027
70,Nov 2015,,16,7,26,32.0,mc027
71,Dez 2015,,16,2,19,33.0,mc027
72,Jan 2016,,20,3,25,28.0,mc027
73,Feb 2016,,15,2,17,47.0,mc027
74,Mär 2016,,17,3,20,49.0,mc027
75,Apr 2016,,13,2,15,63.0,mc027
76,Mai 2016,,10,1,12,81.0,mc027
77,Jun 2016,,9,1,10,71.0,mc027
78,Jul 2016,,9,1,10,67.0,mc027
79,Aug 2016,,10,1,12,56.0,mc027
