,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
0,Jan 2010,46.0,,26.0,5.0,33.0,32.0,mc032
1,Feb 2010,32.0,,23.0,3.0,27.0,,mc032
2,Mär 2010,20.0,,15.0,2.0,19.0,56.0,mc032
3,Apr 2010,20.0,,11.0,1.0,12.0,71.0,mc032
4,Mai 2010,16.0,,8.0,1.0,10.0,50.0,mc032
5,Jun 2010,15.0,,7.0,1.0,8.0,62.0,mc032
6,Jul 2010,19.0,,12.0,1.0,13.0,76.0,mc032
7,Aug 2010,15.0,,11.0,2.0,13.0,41.0,mc032
8,Sep 2010,16.0,,10.0,2.0,13.0,32.0,mc032
9,Okt 2010,22.0,,16.0,4.0,23.0,25.0,mc032
10,Nov 2010,16.0,,16.0,5.0,24.0,27.0,mc032
11,Dez 2010,28.0,,28.0,9.0,41.0,29.0,mc032
12,Jan 2011,17.0,,18.0,4.0,24.0,34.0,mc032
13,Feb 2011,38.0,,19.0,2.0,22.0,48.0,mc032
14,Mär 2011,27.0,,18.0,3.0,22.0,51.0,mc032
15,Apr 2011,20.0,,10.0,1.0,12.0,68.0,mc032
16,Mai 2011,16.0,,10.0,1.0,11.0,66.0,mc032
17,Jun 2011,12.0,,10.0,1.0,11.0,60.0,mc032
18,Jul 2011,11.0,,8.0,1.0,8.0,49.0,mc032
19,Aug 2011,16.0,,9.0,1.0,10.0,42.0,mc032
20,Sep 2011,17.0,,10.0,2.0,14.0,33.0,mc032
21,Okt 2011,22.0,,13.0,5.0,21.0,27.0,mc032
22,Nov 2011,43.0,,24.0,12.0,43.0,14.0,mc032
23,Dez 2011,10.0,,12.0,1.0,13.0,38.0,mc032
24,Jan 2012,21.0,,14.0,2.0,17.0,38.0,mc032
25,Feb 2012,23.0,,18.0,2.0,20.0,40.0,mc032
26,Mär 2012,22.0,,13.0,2.0,16.0,54.0,mc032
27,Apr 2012,16.0,,13.0,1.0,14.0,63.0,mc032
28,Mai 2012,19.0,,10.0,1.0,10.0,65.0,mc032
29,Jun 2012,14.0,,9.0,1.0,10.0,52.0,mc032
30,Jul 2012,15.0,,8.0,1.0,9.0,46.0,mc032
31,Aug 2012,16.0,,11.0,1.0,12.0,41.0,mc032
32,Sep 2012,13.0,,11.0,1.0,12.0,38.0,mc032
33,Okt 2012,17.0,,15.0,3.0,21.0,25.0,mc032
34,Nov 2012,20.0,,19.0,8.0,31.0,17.0,mc032
35,Dez 2012,22.0,,24.0,8.0,36.0,23.0,mc032
36,Jan 2013,23.0,,17.0,2.0,20.0,37.0,mc032
37,Feb 2013,26.0,,15.0,1.0,16.0,43.0,mc032
38,Mär 2013,26.0,,16.0,2.0,19.0,70.0,mc032
39,Apr 2013,23.0,,14.0,1.0,16.0,67.0,mc032
40,Mai 2013,17.0,,10.0,1.0,12.0,53.0,mc032
41,Jun 2013,15.0,,9.0,0.0,10.0,55.0,mc032
42,Jul 2013,16.0,,8.0,0.0,8.0,58.0,mc032
43,Aug 2013,16.0,,13.0,1.0,15.0,47.0,mc032
