,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
0,Jan 2010,46,,21,4,26,,mc077
1,Feb 2010,32,,20,2,23,52.0,mc077
2,Mär 2010,21,,15,2,17,58.0,mc077
3,Apr 2010,21,,12,2,14,70.0,mc077
4,Mai 2010,16,,7,1,9,58.0,mc077
5,Jun 2010,16,,7,1,8,70.0,mc077
6,Jul 2010,20,,9,1,11,83.0,mc077
7,Aug 2010,16,,11,1,13,53.0,mc077
8,Sep 2010,15,,11,2,13,39.0,mc077
9,Okt 2010,23,,18,4,24,30.0,mc077
10,Nov 2010,16,,15,4,20,30.0,mc077
11,Dez 2010,26,,25,6,34,31.0,mc077
12,Jan 2011,17,,22,4,28,,mc077
13,Feb 2011,37,,16,2,19,52.0,mc077
14,Mär 2011,29,,18,3,22,54.0,mc077
15,Apr 2011,21,,10,1,12,72.0,mc077
16,Mai 2011,18,,11,1,13,76.0,mc077
17,Jun 2011,14,,8,1,9,69.0,mc077
18,Jul 2011,11,,7,1,9,57.0,mc077
19,Aug 2011,15,,10,1,12,51.0,mc077
20,Sep 2011,18,,15,5,22,39.0,mc077
21,Okt 2011,22,,16,6,25,30.0,mc077
22,Nov 2011,44,,23,11,39,17.0,mc077
23,Dez 2011,12,,17,2,20,35.0,mc077
24,Jan 2012,22,,15,2,18,38.0,mc077
25,Feb 2012,23,,17,3,21,43.0,mc077
26,Mär 2012,22,,14,3,19,52.0,mc077
27,Apr 2012,18,,13,1,15,67.0,mc077
28,Mai 2012,18,,9,1,10,73.0,mc077
29,Jun 2012,16,,8,1,10,64.0,mc077
30,Jul 2012,17,,8,1,10,58.0,mc077
31,Aug 2012,17,,10,1,11,52.0,mc077
32,Sep 2012,15,,14,2,17,41.0,mc077
33,Okt 2012,17,,17,6,26,29.0,mc077
34,Nov 2012,21,,23,8,35,19.0,mc077
35,Dez 2012,25,,25,6,35,22.0,mc077
36,Jan 2013,24,,15,2,18,41.0,mc077
37,Feb 2013,28,,13,1,14,47.0,mc077
38,Mär 2013,25,,12,2,15,75.0,mc077
39,Apr 2013,24,,14,2,16,72.0,mc077
40,Mai 2013,19,,9,1,10,65.0,mc077
41,Jun 2013,16,,7,1,8,66.0,mc077
42,Jul 2013,17,,8,1,9,64.0,mc077
43,Aug 2013,19,,10,1,12,58.0,mc077
44,Sep 2013,13,,11,2,14,36.0,mc077
45,Okt 2013,21,,18,4,24,30.0,mc077
46,Nov 2013,17,,19,5,26,28.0,mc077
47,Dez 2013,16,,23,8,35,26.0,mc077
48,Jan 2014,33,,19,3,24,29.0,mc077
49,Feb 2014,26,,24,5,31,35.0,mc077
50,Mär 2014,35,,16,4,22,47.0,mc077
51,Apr 2014,24,,10,2,12,64.0,mc077
52,Mai 2014,16,,7,1,9,65.0,mc077
53,Jun 2014,16,,8,1,9,62.0,mc077
54,Jul 2014,22,,8,1,10,71.0,mc077
55,Aug 2014,16,,10,3,14,56.0,mc077
56,Sep 2014,25,,11,2,14,48.0,mc077
57,Okt 2014,27,,18,8,30,25.0,mc077
58,Nov 2014,33,,17,7,27,17.0,mc077
59,Dez 2014,21,,19,4,25,32.0,mc077
60,Jan 2015,16,,16,2,18,41.0,mc077
61,Feb 2015,27,,20,4,26,39.0,mc077
62,Mär 2015,26,,16,3,20,51.0,mc077
63,Apr 2015,19,,12,2,14,64.0,mc077
64,Mai 2015,17,,10,1,12,67.0,mc077
65,Jun 2015,15,,8,1,10,70.0,mc077
66,Jul 2015,18,,8,1,10,72.0,mc077
67,Aug 2015,24,,10,1,12,79.0,mc077
68,Sep 2015,15,,13,2,16,44.0,mc077
69,Okt 2015,30,,16,6,26,27.0,mc077
70,Nov 2015,19,,20,11,36,29.0,mc077
71,Dez 2015,17,,20,3,25,31.0,mc077
72,Jan 2016,34,,23,6,32,28.0,mc077
73,Feb 2016,16,,15,2,18,45.0,mc077
74,Mär 2016,22,,16,4,22,47.0,mc077
75,Apr 2016,19,,13,2,16,61.0,mc077
76,Mai 2016,21,,9,1,10,78.0,mc077
77,Jun 2016,17,,9,1,11,65.0,mc077
78,Jul 2016,16,,8,1,10,59.0,mc077
79,Aug 2016,14,,10,1,12,49.0,mc077
80,Sep 2016,25,,14,2,17,53.0,mc077
81,Okt 2016,22,,12,3,17,23.0,mc077
82,Nov 2016,21,,22,9,35,21.0,mc077
83,Dez 2016,19,,24,10,39,26.0,mc077
84,Jan 2017,23,20.0,23,6,32,36.0,mc077
85,Feb 2017,34,30.0,20,4,26,43.0,mc077
86,Mär 2017,18,14.0,16,3,20,51.0,mc077
87,Apr 2017,16,12.0,10,2,12,65.0,mc077
88,Mai 2017,18,12.0,8,1,10,70.0,mc077
89,Jun 2017,19,9.0,9,2,11,62.0,mc077
90,Jul 2017,16,10.0,9,1,11,52.0,mc077
91,Aug 2017,14,9.0,10,2,13,44.0,mc077
92,Sep 2017,18,12.0,12,3,16,29.0,mc077
93,Okt 2017,18,12.0,15,3,19,27.0,mc077
94,Nov 2017,17,13.0,20,4,26,22.0,mc077
95,Dez 2017,13,11.0,17,4,24,30.0,mc077
96,Jan 2018,17,14.0,16,2,19,34.0,mc077
97,Feb 2018,24,20.0,20,3,25,36.0,mc077
98,Mär 2018,26,21.0,15,2,19,48.0,mc077
99,Apr 2018,22,15.0,13,2,15,66.0,mc077
100,Mai 2018,19,11.0,8,1,9,77.0,mc077
101,Jun 2018,16,10.0,8,1,9,70.0,mc077
102,Jul 2018,16,9.0,10,1,11,63.0,mc077
103,Aug 2018,18,8.0,12,1,13,69.0,mc077
104,Sep 2018,15,8.0,15,1,17,51.0,mc077
105,Okt 2018,18,13.0,18,4,24,35.0,mc077
106,Nov 2018,26,22.0,17,6,25,17.0,mc077
107,Dez 2018,14,12.0,15,4,22,27.0,mc077
108,Jan 2019,17,14.0,15,2,18,39.0,mc077
109,Feb 2019,23,19.0,24,7,35,32.0,mc077
110,Mär 2019,13,10.0,13,1,15,54.0,mc077
111,Apr 2019,22,14.0,8,0,8,77.0,mc077
112,Mai 2019,12,8.0,8,1,9,60.0,mc077
113,Jun 2019,16,10.0,9,0,9,73.0,mc077
114,Jul 2019,15,8.0,9,1,10,55.0,mc077
115,Aug 2019,16,9.0,12,2,14,56.0,mc077
116,Sep 2019,14,8.0,14,2,17,41.0,mc077
117,Okt 2019,19,12.0,15,5,23,22.0,mc077
118,Nov 2019,24,18.0,18,4,24,13.0,mc077
119,Dez 2019,17,13.0,22,6,31,24.0,mc077
120,Jan 2020,17,13.0,22,5,29,29.0,mc077
121,Feb 2020,11,8.0,13,1,14,49.0,mc077
122,Mär 2020,18,13.0,13,1,15,53.0,mc077
123,Apr 2020,20,10.0,8,1,10,71.0,mc077
124,Mai 2020,12,7.0,7,1,8,62.0,mc077
125,Jun 2020,15,8.0,7,1,7,61.0,mc077
126,Jul 2020,9,6.0,8,1,10,50.0,mc077
127,Aug 2020,13,8.0,11,1,12,62.0,mc077
128,Sep 2020,13,8.0,14,2,16,41.0,mc077
129,Okt 2020,14,10.0,13,2,16,25.0,mc077
130,Nov 2020,20,14.0,17,4,23,21.0,mc077
131,Dez 2020,23,19.0,16,3,21,18.0,mc077
132,Jan 2021,15,12.0,13,2,16,30.0,mc077
133,Feb 2021,24,18.0,18,4,24,38.0,mc077
134,Mär 2021,18,13.0,13,3,18,50.0,mc077
135,Apr 2021,16,10.0,7,1,9,67.0,mc077
136,Mai 2021,12,7.0,7,1,8,61.0,mc077
137,Jun 2021,16,10.0,6,0,7,70.0,mc077
138,Jul 2021,16,10.0,8,1,9,46.0,mc077
139,Aug 2021,11,7.0,7,1,8,45.0,mc077
140,Sep 2021,17,11.0,9,1,10,33.0,mc077
141,Okt 2021,17,12.0,13,2,16,29.0,mc077
142,Nov 2021,18,14.0,14,4,19,25.0,mc077
143,Dez 2021,19,16.0,16,3,21,25.0,mc077
144,Jan 2022,14,11.0,12,2,15,40.0,mc077
145,Feb 2022,10,8.0,10,2,11,54.0,mc077
146,Mär 2022,22,17.0,11,2,12,59.0,mc077
147,Apr 2022,12,8.0,6,2,7,69.0,mc077
148,Mai 2022,13,8.0,6,2,7,64.0,mc077
149,Jun 2022,13,9.0,8,2,9,63.0,mc077
150,Jul 2022,11,6.0,8,2,9,60.0,mc077
151,Aug 2022,15,9.0,10,2,11,55.0,mc077
152,Sep 2022,13,8.0,10,2,12,35.0,mc077
153,Okt 2022,19,12.0,13,4,18,20.0,mc077
154,Nov 2022,22,17.0,14,3,18,17.0,mc077
