Country Or Territory,NUTS1,NUTS1 Name,NUTS2,NUTS2 Name,NUTS3,NUTS3 Name,Urbanisation Degree,Year,Air Pollutant,Scenario,Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2020","NO2","WHO_2005_HRAPIE_Scen_Base","8518","97","8.8","9.6","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2020","O3","WHO_2005_HRAPIE_Scen_Base","8518","97","4105.4","4058.0","0","0","0","3","2","5"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2020","PM10","WHO_2005_HRAPIE_Scen_Base","8518","97","13.9","14.3","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2020","PM2.5","WHO_2005_HRAPIE_Scen_Base","8518","97","9.4","9.6","5","4","7","56","37","73"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2020","NO2","WHO_2021_AQG_Scen_Base","3392871","801","15.1","18.5","634","319","1243","6491","3276","12737"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2020","O3","WHO_2021_AQG_Scen_Base","3392871","801","3955.2","3917.0","177","139","214","1871","1481","2262"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2020","PM10","WHO_2021_AQG_Scen_Base","3392871","801","16.0","16.7","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2020","PM2.5","WHO_2021_AQG_Scen_Base","3392871","801","10.8","11.2","1785","1360","1994","18299","13934","20432"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2020","NO2","WHO_2021_AQG_Scen_Base","3256660","594","16.7","18.7","625","315","1226","6400","3231","12558"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2020","O3","WHO_2021_AQG_Scen_Base","3256660","594","3927.9","3915.7","170","134","205","1795","1421","2170"
